%Mission: MLO2022
%Operator: 
%Time: 2022,05,11,00:17:12.842
%File: C:\Users\pop\Documents\5STARG_Data\5STARG_20220511_001712_RADIOMETERS.dat
%Notes: 
YYYY,MM,DD,hh:mm:ss,state,elev_set,azi_set,elev_pid_out,azi_pid_out,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33,J7_1,J7_2,J7_3,J7_4,J7_5,J7_6,J7_7,J7_8
2022,05,11,00:17:12.884,tr,0.000,0.000000,-0.000000,0.000000,-0.26483,-0.00062,-0.00042,-0.21546,-0.00065,-0.00044,-0.22776,-0.00068,-0.00050,-0.23149,-0.00062,-0.00042,-0.24353,-0.00071,-0.00047,-0.00039,-0.00059,-0.22664,-0.00042,-0.00052,-0.21548,-0.00044,-0.00055,-0.22944,-0.00047,-0.00060,-0.00056,-0.00049,-0.73606,-0.00039,-0.00046,-0.00045,-1.32532,-1.91979,-2.72321,-0.00033,-0.00015,-0.00022,-0.00020,-0.00023
2022,05,11,00:17:16.385,tr,0.000,0.000000,-0.000000,0.000000,-0.26467,-0.00062,-0.00042,-0.21536,-0.00062,-0.00043,-0.22762,-0.00060,-0.00045,-0.23127,-0.00062,-0.00045,-0.24331,-0.00063,-0.00042,-0.00034,-0.00055,-0.22647,-0.00042,-0.00052,-0.21531,-0.00047,-0.00051,-0.22929,-0.00054,-0.00060,-0.00063,-0.00044,-0.73343,-0.00040,-0.00043,-0.00045,-1.32055,-1.90169,-2.68045,-0.00025,-0.00011,-0.00020,-0.00016,-0.00022
2022,05,11,00:17:16.635,tr,0.000,0.000000,-0.000000,0.000000,-0.26470,-0.00071,-0.00048,-0.21535,-0.00071,-0.00050,-0.22761,-0.00072,-0.00056,-0.23135,-0.00072,-0.00054,-0.24338,-0.00067,-0.00044,-0.00038,-0.00053,-0.22657,-0.00047,-0.00057,-0.21530,-0.00054,-0.00057,-0.22933,-0.00055,-0.00060,-0.00063,-0.00051,-0.73175,-0.00038,-0.00042,-0.00042,-1.31111,-1.88065,-2.65749,-0.00034,-0.00014,-0.00016,-0.00017,-0.00029
2022,05,11,00:17:16.886,tr,0.000,0.000000,-0.000000,0.000000,-0.26482,-0.00072,-0.00057,-0.21544,-0.00077,-0.00053,-0.22772,-0.00071,-0.00059,-0.23138,-0.00078,-0.00056,-0.24352,-0.00075,-0.00052,-0.00042,-0.00059,-0.22650,-0.00056,-0.00065,-0.21542,-0.00058,-0.00065,-0.22938,-0.00069,-0.00063,-0.00067,-0.00055,-0.71772,-0.00041,-0.00039,-0.00042,-1.30538,-1.86460,-2.61264,-0.00026,-0.00010,-0.00026,-0.00010,-0.00019
2022,05,11,00:17:17.135,tr,0.000,0.000000,-0.000000,0.000000,-0.26488,-0.00073,-0.00048,-0.21548,-0.00078,-0.00053,-0.22775,-0.00080,-0.00067,-0.23137,-0.00080,-0.00061,-0.24350,-0.00085,-0.00058,-0.00035,-0.00055,-0.22663,-0.00066,-0.00066,-0.21540,-0.00059,-0.00071,-0.22941,-0.00066,-0.00068,-0.00074,-0.00060,-0.70729,-0.00037,-0.00037,-0.00045,-1.29249,-1.85609,-2.60766,-0.00032,-0.00013,-0.00021,-0.00020,-0.00019
2022,05,11,00:17:17.384,tr,0.000,0.000000,-0.000000,0.000000,-0.26496,-0.00080,-0.00057,-0.21553,-0.00081,-0.00058,-0.22774,-0.00082,-0.00070,-0.23140,-0.00078,-0.00056,-0.24351,-0.00085,-0.00056,-0.00037,-0.00054,-0.22666,-0.00064,-0.00068,-0.21548,-0.00059,-0.00065,-0.22956,-0.00070,-0.00073,-0.00073,-0.00063,-0.69857,-0.00039,-0.00045,-0.00043,-1.28073,-1.84025,-2.56971,-0.00024,-0.00009,-0.00019,-0.00022,-0.00011
2022,05,11,00:17:17.634,tr,0.000,0.000000,-0.000000,0.000000,-0.26501,-0.00076,-0.00057,-0.21551,-0.00083,-0.00058,-0.22782,-0.00088,-0.00076,-0.23142,-0.00084,-0.00060,-0.24361,-0.00082,-0.00062,-0.00040,-0.00057,-0.22669,-0.00064,-0.00071,-0.21547,-0.00058,-0.00072,-0.22957,-0.00072,-0.00062,-0.00076,-0.00056,-0.68238,-0.00043,-0.00041,-0.00038,-1.26787,-1.82295,-2.55628,-0.00034,-0.00016,-0.00019,-0.00016,-0.00025
2022,05,11,00:17:17.885,tr,0.000,0.000000,-0.000000,0.000000,-0.26515,-0.00078,-0.00056,-0.21558,-0.00084,-0.00058,-0.22780,-0.00083,-0.00072,-0.23141,-0.00084,-0.00061,-0.24352,-0.00085,-0.00066,-0.00041,-0.00051,-0.22668,-0.00069,-0.00070,-0.21558,-0.00063,-0.00075,-0.22958,-0.00080,-0.00076,-0.00073,-0.00066,-0.66972,-0.00042,-0.00042,-0.00043,-1.25919,-1.80732,-2.51011,-0.00019,-0.00005,-0.00017,-0.00016,-0.00021
2022,05,11,00:17:18.135,tr,0.000,0.000000,-0.000000,0.000000,-0.26521,-0.00078,-0.00060,-0.21559,-0.00085,-0.00063,-0.22788,-0.00087,-0.00078,-0.23141,-0.00083,-0.00064,-0.24368,-0.00086,-0.00066,-0.00038,-0.00057,-0.22677,-0.00066,-0.00071,-0.21562,-0.00064,-0.00069,-0.22961,-0.00080,-0.00075,-0.00072,-0.00060,-0.65236,-0.00043,-0.00039,-0.00040,-1.25111,-1.80020,-2.49930,-0.00030,-0.00011,-0.00021,-0.00024,-0.00019
2022,05,11,00:17:18.385,tr,0.000,0.000000,-0.000000,0.000000,-0.26531,-0.00084,-0.00061,-0.21565,-0.00085,-0.00062,-0.22792,-0.00085,-0.00070,-0.23147,-0.00082,-0.00062,-0.24370,-0.00087,-0.00056,-0.00038,-0.00051,-0.22678,-0.00067,-0.00073,-0.21564,-0.00067,-0.00074,-0.22972,-0.00074,-0.00071,-0.00076,-0.00061,-0.64445,-0.00037,-0.00043,-0.00045,-1.24148,-1.78217,-2.45280,-0.00028,-0.00007,-0.00015,-0.00013,-0.00019
2022,05,11,00:17:18.635,tr,0.000,0.000000,-0.000000,0.000000,-0.26536,-0.00079,-0.00063,-0.21568,-0.00081,-0.00063,-0.22796,-0.00089,-0.00081,-0.23153,-0.00089,-0.00063,-0.24376,-0.00084,-0.00064,-0.00037,-0.00061,-0.22685,-0.00069,-0.00074,-0.21566,-0.00067,-0.00072,-0.22970,-0.00072,-0.00068,-0.00076,-0.00063,-0.63147,-0.00036,-0.00035,-0.00040,-1.23183,-1.77524,-2.45263,-0.00024,-0.00023,-0.00013,-0.00017,-0.00022
