%Mission: MLO2022
%Operator: 
%Time: 2022,05,09,20:35:19.750
%File: C:\Users\pop\Documents\5STARG_Data\5STARG_20220509_203519_RADIOMETERS.dat
%Notes: 
YYYY,MM,DD,hh:mm:ss,wtf,elev_setpoint,azi_setpoint,elev_pid_out,azi_pid_out,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,09,20:35:19.965,tr,0.000,0.000000,0.008914,1.460474,-1.39830,-10.28688,-9.70521,-1.63949,-10.13989,-9.69301,-1.80059,-10.14005,-9.70382,-1.86455,-10.16775,-9.71004,-1.55280,-10.16527,-9.69310,-1.67027,0.00061,-1.80072,-10.20061,-9.63816,-0.51685,-10.07559,-9.66387,-1.46950,-10.05939,-9.68287,-9.63957,-9.61515,-9.72370,0.56395,3.98561,-3.97080
2022,05,09,20:35:22.115,tr,0.000,0.000000,0.009303,0.950072,-1.39764,-10.34204,-9.77512,-1.63902,-10.18974,-9.72788,-1.79959,-10.23361,-9.75144,-1.86449,-10.22674,-9.74854,-1.55208,-10.23518,-9.72220,-1.67028,0.00066,-1.80037,-10.26761,-9.70117,-0.51649,-10.12470,-9.71635,-1.47013,-10.11682,-9.71769,-9.68161,-9.67537,-9.78601,0.56396,3.98551,-3.97075
2022,05,09,20:35:22.228,tr,0.000,0.000000,0.007941,-0.996726,-1.39817,-10.36397,-9.80330,-1.63913,-10.24692,-9.76881,-1.80009,-10.25396,-9.75557,-1.86447,-10.25119,-9.74580,-1.55199,-10.25284,-9.75423,-1.67029,0.00065,-1.80097,-10.22458,-9.68678,-0.51693,-10.13661,-9.72244,-1.46992,-10.09780,-9.71182,-9.67412,-9.67643,-9.77884,0.56402,3.98562,-3.97067
2022,05,09,20:35:22.465,tr,0.000,0.000000,0.002078,0.880051,-1.39765,-10.35687,-9.78688,-1.63883,-10.25631,-9.75019,-1.79966,-10.17412,-9.72151,-1.86452,-10.21283,-9.73318,-1.55237,-10.21750,-9.71447,-1.67036,0.00060,-1.80069,-10.24040,-9.69939,-0.51656,-10.14962,-9.73175,-1.46986,-10.15210,-9.75065,-9.69612,-9.67849,-9.76920,0.56401,3.98559,-3.97067
2022,05,09,20:35:22.715,tr,0.000,0.000000,0.000656,0.663924,-1.39769,-10.33914,-9.77460,-1.63887,-10.21597,-9.75038,-1.79918,-10.23884,-9.74280,-1.86446,-10.26400,-9.76137,-1.55209,-10.22889,-9.72945,-1.67026,0.00065,-1.80028,-10.25069,-9.69373,-0.51655,-10.13138,-9.71844,-1.46977,-10.11965,-9.72709,-9.67830,-9.67324,-9.77718,0.56404,3.98562,-3.97075
2022,05,09,20:35:22.964,tr,0.000,0.000000,0.000834,0.722392,-1.39771,-10.35525,-9.80367,-1.63901,-10.24361,-9.74988,-1.80025,-10.19985,-9.72664,-1.86449,-10.20750,-9.73805,-1.55199,-10.22025,-9.70861,-1.67030,0.00063,-1.79981,-10.24118,-9.68011,-0.51639,-10.15919,-9.74266,-1.46992,-10.12904,-9.74368,-9.69980,-9.69601,-9.79460,0.56400,3.98562,-3.97065
2022,05,09,20:35:23.215,tr,0.000,0.000000,0.001178,1.826419,-1.39784,-10.33439,-9.77464,-1.63912,-10.20391,-9.74698,-1.79938,-10.24017,-9.75891,-1.86442,-10.24686,-9.76138,-1.55187,-10.25370,-9.72495,-1.67029,0.00066,-1.80020,-10.27880,-9.70432,-0.51629,-10.13207,-9.72033,-1.47006,-10.11293,-9.71245,-9.67893,-9.67422,-9.76770,0.56398,3.98562,-3.97076
2022,05,09,20:35:23.465,tr,0.000,0.000000,0.001435,1.238658,-1.39762,-10.35107,-9.78946,-1.63805,-10.25392,-9.75190,-1.79914,-10.19774,-9.72993,-1.86449,-10.20699,-9.73123,-1.55176,-10.22654,-9.71776,-1.67034,0.00064,-1.80043,-10.24085,-9.69506,-0.51676,-10.15025,-9.73988,-1.46986,-10.15322,-9.72978,-9.69500,-9.69303,-9.78521,0.56404,3.98562,-3.97066
2022,05,09,20:35:23.715,tr,0.000,0.000000,0.001372,1.826352,-1.39784,-10.33180,-9.77349,-1.63962,-10.22843,-9.73857,-1.79995,-10.23931,-9.74791,-1.86443,-10.24725,-9.75543,-1.55200,-10.27169,-9.74405,-1.67033,0.00066,-1.80050,-10.27876,-9.71049,-0.51656,-10.12341,-9.71615,-1.47006,-10.11774,-9.70708,-9.66330,-9.66888,-9.75790,0.56396,3.98550,-3.97077
2022,05,09,20:35:23.965,tr,0.000,0.000000,0.001298,1.506610,-1.39761,-10.34685,-9.79394,-1.63918,-10.27239,-9.74922,-1.80050,-10.19761,-9.72865,-1.86452,-10.22176,-9.72762,-1.55193,-10.22927,-9.72361,-1.67028,0.00065,-1.80038,-10.23791,-9.68573,-0.51642,-10.14468,-9.73683,-1.46981,-10.14921,-9.74018,-9.67954,-9.68171,-9.76834,0.56405,3.98563,-3.97069
