%Mission: 
%Operator: 
%Time: 2022,05,06,19:54:09.205
%File: C:\Users\pop\Documents\5STARG_Data\5STARG_20220506_195409_RADIOMETERS.dat
%Notes: 
YYYY,MM,DD,hh:mm:ss,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,06,19:54:09.206,0.07854,-0.01098,-0.00079,-0.02305,0.09894,-0.00104,0.09235,-0.01708,-0.00110,0.09538,-0.01633,-0.00106,0.08937,-0.01920,-0.00107,-0.00099,-0.00141,0.11921,-0.00083,-0.00135,0.13155,-0.00078,-0.00133,0.09818,-0.00086,-0.00106,-0.00131,-0.00091,-0.32735,-0.00084,-0.00095,-0.00098
2022,05,06,19:54:09.705,0.07847,-0.01102,-0.00080,-0.02306,0.09890,-0.00107,0.09228,-0.01714,-0.00115,0.09528,-0.01641,-0.00112,0.08930,-0.01923,-0.00110,-0.00101,-0.00139,0.11914,-0.00083,-0.00135,0.13148,-0.00083,-0.00134,0.09813,-0.00089,-0.00108,-0.00131,-0.00092,-0.32382,-0.00086,-0.00096,-0.00100
2022,05,06,19:54:10.205,0.07838,-0.01104,-0.00085,-0.02309,0.09888,-0.00111,0.09222,-0.01711,-0.00116,0.09521,-0.01644,-0.00112,0.08923,-0.01927,-0.00111,-0.00100,-0.00140,0.11907,-0.00086,-0.00137,0.13141,-0.00082,-0.00135,0.09807,-0.00091,-0.00107,-0.00132,-0.00091,-0.32303,-0.00085,-0.00095,-0.00096
2022,05,06,19:54:10.706,0.07830,-0.01107,-0.00085,-0.02312,0.09880,-0.00109,0.09217,-0.01716,-0.00122,0.09518,-0.01644,-0.00113,0.08918,-0.01930,-0.00111,-0.00097,-0.00140,0.11902,-0.00086,-0.00138,0.13132,-0.00085,-0.00134,0.09799,-0.00095,-0.00109,-0.00133,-0.00093,-0.32159,-0.00086,-0.00094,-0.00097
2022,05,06,19:54:11.205,0.07823,-0.01110,-0.00084,-0.02317,0.09875,-0.00111,0.09213,-0.01721,-0.00121,0.09513,-0.01645,-0.00116,0.08915,-0.01933,-0.00111,-0.00101,-0.00138,0.11893,-0.00087,-0.00139,0.13124,-0.00083,-0.00136,0.09793,-0.00094,-0.00104,-0.00132,-0.00092,-0.32313,-0.00084,-0.00095,-0.00097
2022,05,06,19:54:11.706,0.07816,-0.01107,-0.00085,-0.02319,0.09869,-0.00108,0.09206,-0.01722,-0.00122,0.09507,-0.01653,-0.00114,0.08910,-0.01937,-0.00113,-0.00101,-0.00139,0.11889,-0.00089,-0.00138,0.13120,-0.00087,-0.00137,0.09785,-0.00094,-0.00104,-0.00133,-0.00092,-0.31877,-0.00084,-0.00095,-0.00099
