%Mission: 
%Operator: 
%Time: 2022,05,06,21:10:39.238
%File: C:\Users\pop\Documents\5STARG_Data\5STARG_20220506_211039_RADIOMETERS.dat
%Notes: 
YYYY,MM,DD,hh:mm:ss,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,06,21:10:39.239,-0.00120,-0.00581,-0.54424,-0.01113,-0.00122,-0.08165,-0.00122,-0.01250,-1.20792,-0.00124,-0.01299,-1.25795,-0.00122,-0.01138,-1.09792,-1.66955,-0.00154,0.12739,10.12169,4.98877,0.17931,10.12169,10.12169,0.08813,8.82276,10.12169,8.94800,10.12169,10.02052,0.57693,3.97396,-4.00116
2022,05,06,21:10:39.739,-0.00118,-0.00580,-0.53381,-0.01119,-0.00125,-0.08164,-0.00122,-0.01250,-1.20613,-0.00125,-0.01297,-1.25463,-0.00124,-0.01137,-1.09422,-1.66956,-0.00154,0.12738,10.12169,4.98345,0.17928,10.12169,10.12169,0.08814,8.82380,10.12169,8.94899,10.12169,10.01905,0.57692,3.97398,-4.00111
2022,05,06,21:10:40.239,-0.00121,-0.00570,-0.53066,-0.01110,-0.00123,-0.08167,-0.00122,-0.01252,-1.20750,-0.00124,-0.01304,-1.25779,-0.00124,-0.01140,-1.09688,-1.66952,-0.00153,0.12742,10.12169,4.98869,0.17868,10.12169,10.12169,0.08816,8.82477,10.12169,8.95009,10.12169,10.02092,0.57693,3.97398,-4.00112
2022,05,06,21:10:40.739,-0.00120,-0.00581,-0.53949,-0.01112,-0.00125,-0.08152,-0.00124,-0.01239,-1.19517,-0.00126,-0.01298,-1.25373,-0.00124,-0.01138,-1.09538,-1.66954,-0.00151,0.12745,10.12169,4.98265,0.17867,10.12169,10.12169,0.08815,8.82509,10.12169,8.95044,10.12169,10.02357,0.57691,3.97395,-4.00110
2022,05,06,21:10:41.239,-0.00121,-0.00585,-0.54940,-0.01110,-0.00125,-0.08151,-0.00123,-0.01247,-1.20262,-0.00125,-0.01298,-1.25283,-0.00122,-0.01137,-1.09348,-1.66955,-0.00152,0.12744,10.12169,4.98635,0.17871,10.12169,10.12169,0.08816,8.82657,10.12169,8.95086,10.12169,10.03253,0.57692,3.97402,-4.00111
2022,05,06,21:10:41.739,-0.00119,-0.00588,-0.54670,-0.01113,-0.00122,-0.08155,-0.00122,-0.01244,-1.19924,-0.00125,-0.01294,-1.25036,-0.00123,-0.01128,-1.08956,-1.66953,-0.00152,0.12742,10.12169,4.98777,0.17872,10.12169,10.12169,0.08819,8.82764,10.12169,8.95310,10.12169,10.02729,0.57693,3.97403,-4.00110
2022,05,06,21:10:42.239,-0.00120,-0.00584,-0.53925,-0.01111,-0.00123,-0.08161,-0.00121,-0.01246,-1.20462,-0.00126,-0.01291,-1.25100,-0.00123,-0.01141,-1.09878,-1.66950,-0.00153,0.12742,10.12169,4.98709,0.17867,10.12169,10.12169,0.08819,8.82746,10.12169,8.95288,10.12169,10.02957,0.57690,3.97397,-4.00106
2022,05,06,21:10:42.738,-0.00118,-0.00566,-0.52521,-0.01118,-0.00123,-0.08159,-0.00121,-0.01245,-1.20268,-0.00126,-0.01296,-1.25050,-0.00125,-0.01135,-1.09590,-1.66952,-0.00154,0.12744,10.12169,4.98129,0.17866,10.12169,10.12169,0.08817,8.82600,10.12169,8.95246,10.12169,10.03081,0.57694,3.97397,-4.00108
2022,05,06,21:10:43.239,-0.00119,-0.00581,-0.54140,-0.01113,-0.00124,-0.08163,-0.00121,-0.01246,-1.20227,-0.00125,-0.01292,-1.25135,-0.00125,-0.01142,-1.09838,-1.66953,-0.00153,0.12743,10.12169,4.98580,0.17894,10.12169,10.12169,0.08819,8.82719,10.12169,8.95176,10.12169,10.03391,0.57691,3.97401,-4.00111
2022,05,06,21:10:43.738,-0.00119,-0.00574,-0.53137,-0.01109,-0.00123,-0.08164,-0.00123,-0.01254,-1.20631,-0.00126,-0.01289,-1.24592,-0.00125,-0.01127,-1.08737,-1.66953,-0.00155,0.12747,10.12169,4.98772,0.17894,10.12169,10.12169,0.08818,8.82485,10.12169,8.94971,10.12169,10.03823,0.57692,3.97397,-4.00110
