%Mission: 
%Operator: 
%Time: 2022,05,06,21:09:31.672
%File: C:\Users\pop\Documents\5STARG_Data\5STARG_20220506_210931_RADIOMETERS.dat
%Notes: 
YYYY,MM,DD,hh:mm:ss,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,06,21:09:31.672,-0.00123,-0.00596,-0.55222,-0.01117,-0.00124,-0.08219,-0.00125,-0.01265,-1.22125,-0.00128,-0.01309,-1.26023,-0.00124,-0.01118,-1.07175,-1.66958,-0.00156,0.12704,10.12169,4.96787,0.17745,10.12169,10.12169,0.08793,8.80308,10.12169,8.92851,10.12169,9.99954,0.57711,3.97391,-4.00112
2022,05,06,21:09:32.171,-0.00122,-0.00596,-0.56298,-0.01115,-0.00125,-0.08219,-0.00124,-0.01268,-1.21865,-0.00127,-0.01314,-1.26977,-0.00128,-0.01116,-1.07129,-1.66955,-0.00159,0.12707,10.12169,4.97031,0.17746,10.12169,10.12169,0.08790,8.80220,10.12169,8.92705,10.12169,10.00288,0.57713,3.97395,-4.00115
2022,05,06,21:09:32.672,-0.00125,-0.00607,-0.56890,-0.01118,-0.00127,-0.08218,-0.00125,-0.01265,-1.22119,-0.00130,-0.01313,-1.26886,-0.00128,-0.01113,-1.06834,-1.66955,-0.00158,0.12705,10.12169,4.96978,0.17750,10.12169,10.12169,0.08786,8.80077,10.12169,8.92535,10.12169,10.00447,0.57711,3.97394,-4.00118
2022,05,06,21:09:33.173,-0.00124,-0.00603,-0.56428,-0.01116,-0.00127,-0.08215,-0.00123,-0.01269,-1.21950,-0.00128,-0.01315,-1.26952,-0.00129,-0.01120,-1.07848,-1.66955,-0.00158,0.12720,10.12169,4.97261,0.17741,10.12169,10.12169,0.08787,8.79963,10.12169,8.92483,10.12169,10.00907,0.57710,3.97392,-4.00117
2022,05,06,21:09:33.673,-0.00126,-0.00595,-0.54778,-0.01119,-0.00127,-0.08224,-0.00124,-0.01269,-1.22382,-0.00128,-0.01313,-1.26704,-0.00129,-0.01136,-1.09376,-1.66956,-0.00156,0.12719,10.12169,4.97161,0.17747,10.12169,10.12169,0.08787,8.80054,10.12169,8.92530,10.12169,10.01553,0.57709,3.97394,-4.00115
2022,05,06,21:09:34.173,-0.00126,-0.00614,-0.56199,-0.01116,-0.00125,-0.08228,-0.00122,-0.01268,-1.22752,-0.00130,-0.01305,-1.26048,-0.00127,-0.01145,-1.10003,-1.66955,-0.00157,0.12720,10.12169,4.97156,0.17751,10.12169,10.12169,0.08782,8.79751,10.12169,8.92323,10.12169,10.01543,0.57709,3.97394,-4.00117
2022,05,06,21:09:34.675,-0.00125,-0.00590,-0.54574,-0.01113,-0.00124,-0.08227,-0.00126,-0.01275,-1.22877,-0.00131,-0.01319,-1.27431,-0.00130,-0.01135,-1.08941,-1.66958,-0.00160,0.12719,10.12169,4.99899,0.17750,10.12169,10.12169,0.08788,8.80045,10.12169,8.92530,10.12169,10.01581,0.57710,3.97396,-4.00117
2022,05,06,21:09:35.174,-0.00126,-0.00602,-0.55959,-0.01124,-0.00128,-0.08217,-0.00123,-0.01267,-1.22302,-0.00126,-0.01314,-1.26858,-0.00127,-0.01144,-1.09706,-1.66956,-0.00159,0.12719,10.12169,4.99603,0.17743,10.12169,10.12169,0.08786,8.80066,10.12169,8.92731,10.12169,10.01980,0.57709,3.97392,-4.00117
2022,05,06,21:09:35.674,-0.00125,-0.00593,-0.54519,-0.01118,-0.00128,-0.08222,-0.00123,-0.01267,-1.22134,-0.00129,-0.01285,-1.23681,-0.00127,-0.01136,-1.09209,-1.66956,-0.00157,0.12722,10.12169,4.99679,0.17745,10.12169,10.12169,0.08790,8.80192,10.12169,8.92694,10.12169,10.02019,0.57711,3.97396,-4.00115
2022,05,06,21:09:36.175,-0.00124,-0.00591,-0.53828,-0.01118,-0.00125,-0.08223,-0.00126,-0.01265,-1.22069,-0.00127,-0.01286,-1.23835,-0.00129,-0.01136,-1.09284,-1.66958,-0.00157,0.12719,10.12169,4.99365,0.17744,10.12169,10.12169,0.08788,8.80153,10.12169,8.92790,10.12169,10.02457,0.57708,3.97395,-4.00118
