%Mission: 
%Operator: 
%Time: 2022,05,06,23:18:25.791
%File: C:\Users\pop\Documents\5STARG_Data\5STARG_20220506_231825_RADIOMETERS.dat
%Notes: 
YYYY,MM,DD,hh:mm:ss,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,06,23:18:25.791,-0.00062,-0.00332,-0.25443,-0.00060,-0.00888,-0.81195,-0.00065,-0.01219,-1.13466,-0.00064,-0.01421,-1.34468,-0.00056,-0.01046,-0.97068,-1.67000,0.00001,-0.01190,-1.10420,-1.76190,-0.00992,-0.89713,-1.19734,-0.01338,-1.24335,-0.99327,-1.33802,-9.80028,-10.00557,0.57604,3.99298,-3.98667
2022,05,06,23:18:26.228,-0.00059,-0.00336,-0.27208,-0.00059,-0.00892,-0.81133,-0.00066,-0.01211,-1.13036,-0.00061,-0.01429,-1.35129,-0.00059,-0.01044,-0.96376,-1.66995,0.00005,-0.01186,-1.10324,-1.76171,-0.00992,-0.89692,-1.19677,-0.01333,-1.24256,-0.99298,-1.33753,-9.77519,-9.97378,0.57605,3.99307,-3.98666
2022,05,06,23:18:26.659,-0.00063,-0.00337,-0.26180,-0.00059,-0.00888,-0.81037,-0.00065,-0.01224,-1.14169,-0.00063,-0.01426,-1.34485,-0.00058,-0.01051,-0.96600,-1.66999,0.00006,-0.01190,-1.10262,-1.76177,-0.00991,-0.89610,-1.19620,-0.01331,-1.24250,-0.99207,-1.33725,-9.78860,-9.97456,0.57606,3.99303,-3.98660
2022,05,06,23:18:27.091,-0.00059,-0.00343,-0.26934,-0.00062,-0.00887,-0.80772,-0.00064,-0.01219,-1.14100,-0.00059,-0.01422,-1.34202,-0.00059,-0.01046,-0.96602,-1.67000,-0.00001,-0.01188,-1.10227,-1.76138,-0.00984,-0.89550,-1.19568,-0.01336,-1.24240,-0.99150,-1.33704,-9.79854,-9.99972,0.57601,3.99304,-3.98665
2022,05,06,23:18:27.522,-0.00062,-0.00340,-0.26509,-0.00059,-0.00888,-0.80955,-0.00065,-0.01233,-1.14862,-0.00061,-0.01424,-1.34375,-0.00061,-0.01046,-0.95685,-1.67001,0.00004,-0.01190,-1.10168,-1.76125,-0.00992,-0.89534,-1.19547,-0.01331,-1.24166,-0.99126,-1.33673,-9.77380,-9.97328,0.57604,3.99304,-3.98664
2022,05,06,23:18:27.953,-0.00061,-0.00344,-0.26517,-0.00062,-0.00886,-0.80536,-0.00061,-0.01227,-1.14890,-0.00064,-0.01424,-1.34358,-0.00058,-0.01040,-0.95789,-1.67002,0.00004,-0.01188,-1.10134,-1.76134,-0.00984,-0.89462,-1.19515,-0.01338,-1.24199,-0.99104,-1.33660,-9.79616,-9.97369,0.57603,3.99299,-3.98667
2022,05,06,23:18:28.385,-0.00059,-0.00323,-0.24909,-0.00061,-0.00883,-0.80747,-0.00063,-0.01214,-1.13767,-0.00062,-0.01425,-1.34193,-0.00058,-0.01039,-0.95720,-1.66996,0.00007,-0.01187,-1.10119,-1.75967,-0.00988,-0.89420,-1.19452,-0.01335,-1.24136,-0.99042,-1.33657,-9.77275,-9.97142,0.57603,3.99304,-3.98671
2022,05,06,23:18:28.816,-0.00063,-0.00342,-0.26815,-0.00058,-0.00879,-0.80261,-0.00066,-0.01217,-1.13456,-0.00063,-0.01426,-1.34781,-0.00060,-0.01049,-0.96295,-1.67002,0.00007,-0.01187,-1.10043,-1.75950,-0.00989,-0.89377,-1.19391,-0.01336,-1.24113,-0.98960,-1.33616,-9.77673,-9.97632,0.57602,3.99303,-3.98668
2022,05,06,23:18:29.247,-0.00058,-0.00303,-0.21910,-0.00063,-0.00889,-0.80888,-0.00061,-0.01242,-1.16107,-0.00062,-0.01421,-1.34074,-0.00059,-0.01052,-0.96936,-1.67001,0.00004,-0.01186,-1.10010,-1.75938,-0.00983,-0.89303,-1.19337,-0.01338,-1.24127,-0.98892,-1.33595,-9.80106,-10.00732,0.57605,3.99303,-3.98668
2022,05,06,23:18:29.678,-0.00057,-0.00293,-0.21723,-0.00062,-0.00879,-0.80076,-0.00065,-0.01235,-1.15613,-0.00061,-0.01414,-1.33775,-0.00060,-0.01040,-0.95458,-1.67001,0.00007,-0.01184,-1.09856,-1.75947,-0.00987,-0.89276,-1.19206,-0.01333,-1.24040,-0.98847,-1.33549,-9.77734,-9.96983,0.57606,3.99306,-3.98671
2022,05,06,23:18:30.109,-0.00061,-0.00308,-0.23178,-0.00060,-0.00886,-0.80764,-0.00066,-0.01243,-1.16226,-0.00062,-0.01420,-1.33687,-0.00059,-0.01042,-0.95712,-1.67002,0.00003,-0.01185,-1.09801,-1.75916,-0.00986,-0.89193,-1.19155,-0.01335,-1.24021,-0.98825,-1.33511,-9.79111,-9.97028,0.57603,3.99306,-3.98664
2022,05,06,23:18:30.541,-0.00060,-0.00296,-0.21727,-0.00062,-0.00889,-0.80846,-0.00067,-0.01235,-1.15545,-0.00061,-0.01420,-1.33590,-0.00063,-0.01042,-0.95527,-1.67000,-0.00002,-0.01186,-1.09741,-1.75705,-0.00984,-0.89104,-1.19112,-0.01335,-1.23991,-0.98755,-1.33480,-9.80009,-9.98870,0.57603,3.99302,-3.98669
2022,05,06,23:18:30.972,-0.00062,-0.00301,-0.22487,-0.00058,-0.00892,-0.80874,-0.00066,-0.01246,-1.16101,-0.00061,-0.01415,-1.34008,-0.00061,-0.01046,-0.96358,-1.66999,0.00007,-0.01183,-1.09741,-1.75682,-0.00984,-0.89062,-1.19106,-0.01328,-1.23938,-0.98670,-1.33440,-9.77591,-9.96554,0.57605,3.99308,-3.98662
