%Mission: 
%Operator: 
%Time: 2022,05,04,23:01:45.557
%File: C:\Users\pop\Documents\5STARG_Data\5STARG_20220504_230145_RADIOMETERS.dat
%Notes: 
YYYY,MM,DD,hh:mm:ss,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,04,23:01:45.558,-1.3653012514,-10.3831491470,-9.8194475174,-9.6724834442,-1.7600703239,-10.1537351608,-1.6006529331,-10.2921485901,-9.7993450165,-1.8655853271,-10.2767696381,-9.7983236313,-1.5298218727,-10.3278217316,-9.8096694946,-1.6746611595,-0.0036707385,-1.7658632994,-10.3174314499,-9.7685976028,-0.4965540469,-10.2090196609,-9.8055562973,-1.4479687214,-10.2084798813,-9.8016662598,-9.7291154861,-9.7036771774,-9.8183717728,0.5538482666,3.9819474220,-3.9752802849
2022,05,04,23:01:45.679,-1.3659280539,-10.4074048996,-9.8419399261,-9.6625137329,-1.7605960369,-10.1779012680,-1.6013216972,-10.3175144196,-9.8162050247,-1.8656358719,-10.3007116318,-9.8244066238,-1.5298119783,-10.3295011520,-9.8001117706,-1.6745933294,-0.0036695045,-1.7659596205,-10.3346042633,-9.7684011459,-0.4972808063,-10.2287254333,-9.7890701294,-1.4482253790,-10.1489419937,-9.7658090591,-9.7287960052,-9.7146329880,-9.8469295502,0.5538815856,3.9821708202,-3.9750308990
2022,05,04,23:01:45.792,-1.3654690981,-10.4042425156,-9.8394327164,-9.6740808487,-1.7596595287,-10.1979742050,-1.6005394459,-10.3308620453,-9.8280458450,-1.8653619289,-10.3259267807,-9.8272581100,-1.5298391581,-10.3037939072,-9.8065509796,-1.6744884253,-0.0035547554,-1.7660237551,-10.3218002319,-9.7578706741,-0.4971993566,-10.1827774048,-9.7787876129,-1.4479280710,-10.1817693710,-9.7812824249,-9.7215690613,-9.7022552490,-9.8072166443,0.5540259480,3.9822275639,-3.9749484062
2022,05,04,23:01:45.906,-1.3654382229,-10.4152345657,-9.8588857651,-9.6925497055,-1.7595854998,-10.2130975723,-1.6003938913,-10.3352832794,-9.8248348236,-1.8653063774,-10.3119754791,-9.8092346191,-1.5296862125,-10.3325405121,-9.8080778122,-1.6746846437,-0.0038804950,-1.7658669949,-10.3162593842,-9.7620038986,-0.4972487092,-10.1858854294,-9.7783441544,-1.4477860928,-10.1697626114,-9.7794132233,-9.7057867050,-9.7108068466,-9.8406429291,0.5542455912,3.9823904037,-3.9749631882
2022,05,04,23:01:46.020,-1.3656084538,-10.4368286133,-9.8802728653,-9.7060089111,-1.7600679398,-10.1881475449,-1.6007146835,-10.3451700211,-9.8278675079,-1.8655074835,-10.3101224899,-9.8029756546,-1.5300056934,-10.2656307220,-9.7741193771,-1.6746476889,-0.0038471806,-1.7656338215,-10.3179016113,-9.7430591583,-0.4969513714,-10.1977767944,-9.7706594467,-1.4480538368,-10.1766824722,-9.7858009338,-9.7371673584,-9.7273216248,-9.8460750580,0.5541555285,3.9824051857,-3.9748914242
2022,05,04,23:01:46.133,-1.3657096624,-10.4272966385,-9.8622341156,-9.6905708313,-1.7602294683,-10.2106790543,-1.6012278795,-10.3102455139,-9.7784280777,-1.8657209873,-10.2672700882,-9.7970094681,-1.5298181772,-10.2776136398,-9.7788038254,-1.6747031212,-0.0038002939,-1.7666037083,-10.3045587540,-9.7471361160,-0.4971524775,-10.2193775177,-9.7984113693,-1.4477874041,-10.2022552490,-9.7971839905,-9.7421998978,-9.7298383713,-9.8568553925,0.5541888475,3.9824202061,-3.9748730659
2022,05,04,23:01:46.246,-1.3650803566,-10.4231500626,-9.8673830032,-9.6802644730,-1.7592276335,-10.1576395035,-1.6005703211,-10.2933683395,-9.8021202087,-1.8656790257,-10.2779483795,-9.7830362320,-1.5303549767,-10.2939367294,-9.7832393646,-1.6746686697,-0.0039643976,-1.7654204369,-10.3303623199,-9.7710256577,-0.4966613948,-10.2254581451,-9.7950563431,-1.4476491213,-10.2020072937,-9.7938995361,-9.7353696823,-9.7242498398,-9.8531751633,0.5542110801,3.9823756218,-3.9751470089
2022,05,04,23:01:46.360,-1.3658083677,-10.3887834549,-9.8295717239,-9.6744689941,-1.7611486912,-10.1623697281,-1.6014254093,-10.2939157486,-9.7893571854,-1.8657691479,-10.2672939301,-9.7842493057,-1.5299539566,-10.3009386063,-9.8013401031,-1.6746007204,-0.0036546981,-1.7656462193,-10.3400382996,-9.7882366180,-0.4966576993,-10.2118673325,-9.7916116714,-1.4476813078,-10.2109384537,-9.7899703979,-9.7447338104,-9.7313747406,-9.8330249786,0.5540037155,3.9820449352,-3.9750261307
2022,05,04,23:01:46.473,-1.3657244444,-10.4127759933,-9.8417263031,-9.6470918655,-1.7602356672,-10.1728572845,-1.6012711525,-10.3085079193,-9.7919321060,-1.8655717373,-10.3073596954,-9.8094873428,-1.5293493271,-10.3268032074,-9.8107233047,-1.6745340824,-0.0036460613,-1.7655659914,-10.3232383728,-9.7711477280,-0.4973141253,-10.2187366486,-9.8017368317,-1.4484771490,-10.1795082092,-9.7642078400,-9.7112083435,-9.7150440216,-9.8297080994,0.5539383292,3.9822251797,-3.9750347137
2022,05,04,23:01:46.586,-1.3656368256,-10.3921108246,-9.8403339386,-9.6696767807,-1.7602257729,-10.1893177032,-1.6010133028,-10.3149337769,-9.8139848709,-1.8655000925,-10.3243551254,-9.8157024384,-1.5296763182,-10.3199510574,-9.8027086258,-1.6745057106,-0.0037028189,-1.7656499147,-10.3361043930,-9.7908382416,-0.4969772696,-10.1876029968,-9.7523365021,-1.4483524561,-10.1882820129,-9.7837181091,-9.7225217819,-9.7032871246,-9.8076725006,0.5539519191,3.9821548462,-3.9750370979
