%Mission: 
%Operator: 
%Time: 2022,05,06,19:13:32.531
%File: C:\Users\pop\Documents\5STARG_Data\5STARG_20220506_191332_RADIOMETERS.dat
%Notes: 
YYYY,MM,DD,hh:mm:ss,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,06,19:13:32.533,0.0696090981,-0.0004207468,-0.0003528844,-0.0005108187,0.0316751599,-0.0004306177,0.0335360095,-0.0005071171,-0.0003861987,-0.0190829039,-0.0004515934,-0.0003417797,-0.0364495069,-0.0004799722,-0.0004182791,-0.0003084654,-0.0004824399,-0.0700080767,-0.0004343193,-0.0005293267,-0.0391208194,-0.0004145775,-0.0004688674,-0.0250609647,-0.0004886092,-0.0005071171,-0.0004886092,-0.0004195130,-0.5887185931,-0.0003454813,-0.0004232145,-0.0004022389
2022,05,06,19:13:33.033,0.0695153102,-0.0004935447,-0.0003627553,-0.0005182219,0.0316258036,-0.0003936019,0.0334422290,-0.0005009478,-0.0004466579,-0.0191384275,-0.0005243912,-0.0003960696,-0.0365877002,-0.0005330282,-0.0004158114,-0.0003775617,-0.0004491257,-0.0700833425,-0.0004170452,-0.0005540039,-0.0391491987,-0.0005071171,-0.0004997140,-0.0250683669,-0.0004873754,-0.0004614643,-0.0005428991,-0.0004355532,-0.5855166912,-0.0002640464,-0.0003516506,-0.0003245056
2022,05,06,19:13:33.533,0.0694388077,-0.0005466007,-0.0004318516,-0.0005342621,0.0315641016,-0.0004244484,0.0334335901,-0.0005169880,-0.0004441902,-0.0191976540,-0.0004799722,-0.0004195130,-0.0365741290,-0.0005021817,-0.0004182791,-0.0003454813,-0.0005256251,-0.0701215938,-0.0004639320,-0.0005490684,-0.0391566008,-0.0005145203,-0.0005391975,-0.0251078513,-0.0005453668,-0.0004812061,-0.0005256251,-0.0004540611,-0.5819817185,-0.0003208040,-0.0003713924,-0.0003417797
2022,05,06,19:13:34.033,0.0693573654,-0.0004898431,-0.0004232145,-0.0005589394,0.0314752571,-0.0004034728,0.0333546139,-0.0005071171,-0.0005058833,-0.0191779118,-0.0004947785,-0.0004639320,-0.0366345868,-0.0005626409,-0.0004330855,-0.0002837882,-0.0004515934,-0.0701413378,-0.0004663997,-0.0005614071,-0.0392318666,-0.0005071171,-0.0005243912,-0.0252139624,-0.0005873182,-0.0005786811,-0.0005453668,-0.0004775045,-0.5818891525,-0.0003072316,-0.0003368442,-0.0003380781
2022,05,06,19:13:34.532,0.0692944303,-0.0004960124,-0.0003504167,-0.0005342621,0.0313678980,-0.0004392547,0.0333447419,-0.0005515362,-0.0005503023,-0.0192396045,-0.0005379637,-0.0004380209,-0.0367567390,-0.0005762134,-0.0005243912,-0.0003516506,-0.0004824399,-0.0701746494,-0.0005046494,-0.0005811488,-0.0393416807,-0.0005317944,-0.0005083510,-0.0252287686,-0.0005700441,-0.0005108187,-0.0005293267,-0.0004849076,-0.5794720054,-0.0003516506,-0.0003948357,-0.0003467151
2022,05,06,19:13:35.032,0.0691648573,-0.0005145203,-0.0004293839,-0.0005293267,0.0313580260,-0.0004626981,0.0332768746,-0.0005293267,-0.0005478346,-0.0192778539,-0.0005428991,-0.0004010050,-0.0367764793,-0.0005688102,-0.0004515934,-0.0003096993,-0.0005169880,-0.0702030286,-0.0005280928,-0.0005700441,-0.0393638872,-0.0005034155,-0.0005071171,-0.0252991002,-0.0005947214,-0.0005169880,-0.0005836166,-0.0004984801,-0.5767180324,-0.0002936591,-0.0003096993,-0.0003886664
2022,05,06,19:13:35.532,0.0691290721,-0.0005601732,-0.0004540611,-0.0005749795,0.0313493907,-0.0004244484,0.0331571773,-0.0005823827,-0.0005342621,-0.0193580557,-0.0005231574,-0.0005293267,-0.0368887633,-0.0005071171,-0.0004614643,-0.0003047638,-0.0004787383,-0.0702906325,-0.0004997140,-0.0005836166,-0.0393737592,-0.0004639320,-0.0005885520,-0.0253521558,-0.0005589394,-0.0005404314,-0.0005836166,-0.0004947785,-0.5754927993,-0.0002776189,-0.0003467151,-0.0003565860
2022,05,06,19:13:36.032,0.0690513328,-0.0005182219,-0.0004725690,-0.0006292695,0.0312383305,-0.0004380209,0.0331078172,-0.0005317944,-0.0005243912,-0.0193321444,-0.0005638748,-0.0004750367,-0.0369430520,-0.0005268590,-0.0004775045,-0.0003096993,-0.0004429563,-0.0702832267,-0.0005095848,-0.0005811488,-0.0394749381,-0.0005157542,-0.0005293267,-0.0254237205,-0.0005799150,-0.0005725118,-0.0005441330,-0.0004762706,-0.5786181688,-0.0002862559,-0.0003565860,-0.0003417797
2022,05,06,19:13:36.533,0.0689982697,-0.0005120526,-0.0003787955,-0.0005651087,0.0312124174,-0.0004417225,0.0330880731,-0.0005428991,-0.0005725118,-0.0194037091,-0.0005342621,-0.0004207468,-0.0369640291,-0.0005034155,-0.0004034728,-0.0003726262,-0.0004787383,-0.0703782365,-0.0004886092,-0.0005712779,-0.0395008475,-0.0004762706,-0.0005379637,-0.0254323576,-0.0005934875,-0.0005206896,-0.0005688102,-0.0005021817,-0.5729190111,-0.0002677480,-0.0003430136,-0.0003417797
2022,05,06,19:13:37.033,0.0688501969,-0.0005280928,-0.0004540611,-0.0004935447,0.0311396122,-0.0004367870,0.0330350138,-0.0005095848,-0.0005959552,-0.0194271524,-0.0005416653,-0.0004491257,-0.0370429941,-0.0005503023,-0.0004392547,-0.0003331426,-0.0004528272,-0.0704004467,-0.0004923108,-0.0005873182,-0.0395588391,-0.0004935447,-0.0005391975,-0.0254681390,-0.0005749795,-0.0004812061,-0.0005367298,-0.0004577627,-0.5716234446,-0.0002862559,-0.0004121098,-0.0004133437
