%Mission: 
%Operator: 
%Time: 2022,05,06,23:07:41.885
%File: C:\Users\pop\Documents\5STARG_Data\5STARG_20220506_230741_RADIOMETERS.dat
%Notes: 
YYYY,MM,DD,hh:mm:ss,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,06,23:07:41.886,-0.00007,-0.00355,-0.32297,-0.00006,-0.00913,-0.87811,-0.00007,-0.01064,-1.02682,-0.00004,-0.01118,-1.08528,-0.00005,-0.01203,-1.15981,-1.66930,0.00051,-0.01348,-1.30412,-1.81183,-0.01147,-1.09592,-1.40397,-0.01398,-1.35032,-1.19847,-1.45154,-9.76485,-9.92903,0.58194,3.99362,-3.98617
2022,05,06,23:07:42.324,-0.00006,-0.00351,-0.31968,-0.00008,-0.00918,-0.88392,-0.00008,-0.01057,-1.01923,-0.00003,-0.01120,-1.08382,-0.00003,-0.01184,-1.14254,-1.66929,0.00053,-0.01349,-1.30413,-1.81181,-0.01145,-1.09562,-1.40399,-0.01398,-1.35048,-1.19824,-1.45159,-9.77712,-9.95767,0.58194,3.99360,-3.98618
2022,05,06,23:07:42.756,-0.00006,-0.00349,-0.31976,-0.00005,-0.00922,-0.88859,-0.00007,-0.01062,-1.02426,-0.00003,-0.01121,-1.08370,-0.00004,-0.01185,-1.14913,-1.66931,0.00053,-0.01350,-1.30423,-1.81184,-0.01148,-1.09603,-1.40418,-0.01397,-1.35018,-1.19861,-1.45165,-9.75187,-9.93141,0.58192,3.99360,-3.98616
2022,05,06,23:07:43.186,-0.00010,-0.00348,-0.31243,-0.00004,-0.00920,-0.88488,-0.00007,-0.01072,-1.03289,-0.00003,-0.01118,-1.08143,-0.00002,-0.01193,-1.15334,-1.66933,0.00052,-0.01346,-1.30410,-1.81176,-0.01146,-1.09602,-1.40420,-0.01401,-1.35024,-1.19816,-1.45151,-9.77032,-9.93353,0.58192,3.99358,-3.98615
2022,05,06,23:07:43.617,-0.00005,-0.00356,-0.31125,-0.00005,-0.00921,-0.88643,-0.00005,-0.01070,-1.03590,-0.00004,-0.01123,-1.08630,-0.00007,-0.01194,-1.15001,-1.66930,0.00056,-0.01350,-1.30529,-1.81122,-0.01147,-1.09600,-1.40538,-0.01397,-1.35013,-1.19822,-1.45142,-9.75039,-9.92456,0.58191,3.99359,-3.98616
2022,05,06,23:07:44.049,-0.00007,-0.00362,-0.32882,-0.00005,-0.00927,-0.88761,-0.00009,-0.01074,-1.03729,-0.00003,-0.01122,-1.08464,-0.00004,-0.01187,-1.14913,-1.66933,0.00053,-0.01351,-1.30541,-1.81096,-0.01147,-1.09903,-1.40524,-0.01397,-1.35013,-1.20144,-1.45143,-9.77821,-9.93924,0.58192,3.99359,-3.98614
2022,05,06,23:07:44.480,-0.00003,-0.00360,-0.32586,-0.00007,-0.00919,-0.88232,-0.00003,-0.01067,-1.03353,-0.00004,-0.01120,-1.08124,-0.00004,-0.01188,-1.14692,-1.66932,0.00051,-0.01353,-1.30545,-1.81099,-0.01150,-1.09907,-1.40540,-0.01403,-1.35033,-1.20178,-1.45145,-9.77866,-9.97254,0.58190,3.99360,-3.98618
2022,05,06,23:07:44.911,-0.00005,-0.00359,-0.32209,-0.00006,-0.00914,-0.87745,-0.00008,-0.01073,-1.03803,-0.00006,-0.01126,-1.08588,-0.00005,-0.01187,-1.14673,-1.66931,0.00054,-0.01351,-1.30562,-1.81112,-0.01153,-1.09922,-1.40544,-0.01401,-1.35019,-1.20145,-1.45155,-9.75575,-9.93325,0.58187,3.99357,-3.98618
2022,05,06,23:07:45.343,-0.00008,-0.00351,-0.31494,-0.00007,-0.00919,-0.88440,-0.00009,-0.01076,-1.03664,-0.00004,-0.01122,-1.08627,-0.00005,-0.01184,-1.14790,-1.66935,0.00051,-0.01353,-1.30566,-1.81094,-0.01151,-1.09921,-1.40538,-0.01402,-1.35041,-1.20191,-1.45169,-9.76567,-9.93048,0.58190,3.99355,-3.98614
2022,05,06,23:07:45.774,-0.00008,-0.00370,-0.33278,-0.00007,-0.00929,-0.88976,-0.00008,-0.01073,-1.03483,-0.00004,-0.01121,-1.08054,-0.00004,-0.01193,-1.15476,-1.66932,0.00050,-0.01351,-1.30578,-1.81091,-0.01147,-1.09937,-1.40565,-0.01400,-1.35068,-1.20178,-1.45168,-9.77737,-9.95739,0.58192,3.99358,-3.98611
2022,05,06,23:07:46.204,-0.00004,-0.00355,-0.31615,-0.00008,-0.00926,-0.89187,-0.00007,-0.01073,-1.02956,-0.00004,-0.01117,-1.08180,-0.00005,-0.01193,-1.15344,-1.66929,0.00052,-0.01350,-1.30591,-1.81141,-0.01151,-1.09956,-1.40576,-0.01400,-1.35051,-1.20186,-1.45171,-9.75606,-9.93737,0.58185,3.99363,-3.98616
