%Mission: 
%Operator: 
%Time: 2022,05,06,23:19:15.976
%File: C:\Users\pop\Documents\5STARG_Data\5STARG_20220506_231915_RADIOMETERS.dat
%Notes: 
YYYY,MM,DD,hh:mm:ss,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,06,23:19:15.977,-0.00071,-0.00297,-0.21566,-0.00058,-0.00899,-0.81988,-0.00063,-0.01232,-1.15332,-0.00067,-0.01402,-1.31670,-0.00063,-0.01001,-0.91540,-1.67000,0.00005,-0.01150,-1.06267,-1.74302,-0.00956,-0.85957,-1.15596,-0.01310,-1.21948,-0.95592,-1.31458,-10.24210,-9.94221,0.57585,3.99302,-3.98661
2022,05,06,23:19:16.091,-0.00063,-0.00287,-0.20197,-0.00070,-0.00892,-0.81182,-0.00067,-0.01231,-1.14737,-0.00065,-0.01391,-1.31248,-0.00056,-0.01003,-0.92189,-1.66999,0.00001,-0.01154,-1.06261,-1.74296,-0.00957,-0.85947,-1.15602,-0.01312,-1.21945,-0.95587,-1.31435,-10.21571,-9.95229,0.57572,3.99301,-3.98666
2022,05,06,23:19:16.205,-0.00067,-0.00289,-0.20428,-0.00064,-0.00894,-0.81165,-0.00065,-0.01233,-1.14799,-0.00059,-0.01393,-1.31686,-0.00059,-0.01000,-0.91760,-1.67002,0.00001,-0.01151,-1.06238,-1.74312,-0.00956,-0.85976,-1.15591,-0.01312,-1.21963,-0.95590,-1.31447,-10.20551,-9.94537,0.57579,3.99301,-3.98665
2022,05,06,23:19:16.320,-0.00069,-0.00292,-0.20883,-0.00064,-0.00897,-0.81552,-0.00067,-0.01220,-1.14298,-0.00058,-0.01401,-1.31594,-0.00057,-0.01006,-0.92061,-1.67005,-0.00009,-0.01152,-1.06278,-1.74296,-0.00961,-0.85975,-1.15601,-0.01314,-1.21972,-0.95592,-1.31443,-10.21831,-9.95117,0.57572,3.99306,-3.98663
2022,05,06,23:19:16.434,-0.00064,-0.00287,-0.21079,-0.00055,-0.00894,-0.81211,-0.00067,-0.01233,-1.14791,-0.00061,-0.01395,-1.31884,-0.00058,-0.01005,-0.91712,-1.67001,0.00000,-0.01150,-1.06272,-1.74262,-0.00955,-0.85985,-1.15591,-0.01315,-1.21961,-0.95599,-1.31419,-10.24607,-9.97568,0.57582,3.99301,-3.98663
2022,05,06,23:19:16.549,-0.00059,-0.00295,-0.21642,-0.00062,-0.00887,-0.81278,-0.00068,-0.01233,-1.15074,-0.00064,-0.01405,-1.32191,-0.00065,-0.01002,-0.91954,-1.67003,-0.00005,-0.01160,-1.06296,-1.74270,-0.00954,-0.85995,-1.15591,-0.01315,-1.21957,-0.95570,-1.31449,-10.23085,-9.96173,0.57585,3.99303,-3.98665
2022,05,06,23:19:16.663,-0.00061,-0.00276,-0.20113,-0.00058,-0.00903,-0.81957,-0.00064,-0.01231,-1.14646,-0.00066,-0.01401,-1.32008,-0.00063,-0.01006,-0.91918,-1.67000,-0.00004,-0.01151,-1.06272,-1.74273,-0.00952,-0.85958,-1.15595,-0.01312,-1.21927,-0.95594,-1.31428,-10.24876,-9.96542,0.57581,3.99306,-3.98664
2022,05,06,23:19:16.779,-0.00063,-0.00287,-0.20628,-0.00063,-0.00905,-0.81960,-0.00069,-0.01230,-1.14607,-0.00066,-0.01405,-1.32203,-0.00064,-0.01007,-0.92153,-1.66995,0.00007,-0.01153,-1.06259,-1.74273,-0.00951,-0.85897,-1.15592,-0.01315,-1.21917,-0.95521,-1.31411,-10.23343,-9.93456,0.57577,3.99307,-3.98667
2022,05,06,23:19:16.893,-0.00070,-0.00277,-0.20149,-0.00064,-0.00897,-0.81789,-0.00070,-0.01247,-1.15956,-0.00062,-0.01408,-1.32235,-0.00055,-0.00998,-0.92271,-1.67001,0.00003,-0.01148,-1.06219,-1.74292,-0.00952,-0.85905,-1.15557,-0.01308,-1.21932,-0.95567,-1.31429,-10.21309,-9.92770,0.57577,3.99307,-3.98666
2022,05,06,23:19:17.009,-0.00066,-0.00284,-0.20254,-0.00068,-0.00897,-0.81529,-0.00062,-0.01246,-1.16554,-0.00064,-0.01401,-1.32129,-0.00056,-0.00999,-0.91458,-1.66998,0.00005,-0.01147,-1.06223,-1.74369,-0.00958,-0.85897,-1.15585,-0.01317,-1.21943,-0.95510,-1.31412,-10.21614,-9.92467,0.57578,3.99311,-3.98663
