YYYY,MM,DD,hh,mm,ss,msec,elev_set,azi_set,elev_pid_out,azi_pid_out,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,08,06,38,46,134,tr,0.000,0.000000,0.255840,8.146139,-0.00665,-0.01129,-0.71417,-0.00673,-0.01627,-1.19283,-0.00692,-0.01902,-1.45103,-0.00689,-0.01881,-1.42239,-0.00688,-0.01550,-1.09786,-1.67370,-0.00652,0.12827,10.12169,5.69647,0.16792,10.12169,10.12169,0.08396,8.79142,10.12169,9.00189,10.12169,9.95328,0.57305,3.96824,-4.00410
2022,05,08,06,38,46,383,tr,0.000,0.000000,-0.057491,-0.007478,-0.00689,-0.01190,-0.72842,-0.00673,-0.01628,-1.20076,-0.00684,-0.01894,-1.45876,-0.00667,-0.01855,-1.42728,-0.00668,-0.01528,-1.09982,-1.67335,-0.00640,0.12826,10.12169,5.69616,0.16796,10.12169,10.12169,0.08387,8.79146,10.12169,9.00235,10.12169,9.96118,0.57309,3.96840,-4.00360
2022,05,08,06,38,46,633,tr,0.000,0.000000,-0.032829,-1.461567,-0.00677,-0.01157,-0.71941,-0.00690,-0.01645,-1.20132,-0.00692,-0.01918,-1.45761,-0.00690,-0.01876,-1.42991,-0.00693,-0.01553,-1.10474,-1.67354,-0.00640,0.12822,10.12169,5.69414,0.16806,10.12169,10.12169,0.08390,8.79378,10.12169,9.00444,10.12169,9.97157,0.57301,3.96830,-4.00396
2022,05,08,06,38,46,883,tr,0.000,0.000000,0.004374,5.415370,-0.00706,-0.01168,-0.71270,-0.00683,-0.01639,-1.20483,-0.00684,-0.01916,-1.46350,-0.00681,-0.01872,-1.43596,-0.00686,-0.01539,-1.09965,-1.67350,-0.00650,0.12794,10.12169,5.69413,0.16776,10.12169,10.12169,0.08362,8.78966,10.12169,9.00473,10.12169,9.97321,0.57267,3.96806,-4.00393
2022,05,08,06,38,47,134,tr,0.000,0.000000,-0.265534,5.870759,-0.00691,-0.01160,-0.71776,-0.00712,-0.01661,-1.20416,-0.00717,-0.01930,-1.46658,-0.00707,-0.01884,-1.43118,-0.00698,-0.01575,-1.11052,-1.67365,-0.00652,0.12825,10.12169,5.69825,0.16809,10.12169,10.12169,0.08390,8.79181,10.12169,9.00227,10.12169,9.98408,0.57335,3.96859,-4.00359
2022,05,08,06,38,47,384,tr,0.000,0.000000,0.142725,-10.766357,-0.00684,-0.01157,-0.71859,-0.00675,-0.01620,-1.19816,-0.00661,-0.01873,-1.44840,-0.00660,-0.01838,-1.41743,-0.00650,-0.01521,-1.09589,-1.67321,-0.00620,0.12840,10.12169,5.69939,0.16816,10.12169,10.12169,0.08397,8.79433,10.12169,9.00397,10.12169,9.99271,0.57296,3.96845,-4.00361
2022,05,08,06,38,47,634,tr,0.000,0.000000,-0.093215,-2.516635,-0.00677,-0.01149,-0.71611,-0.00696,-0.01656,-1.19838,-0.00695,-0.01909,-1.46039,-0.00707,-0.01876,-1.43105,-0.00682,-0.01548,-1.10698,-1.67362,-0.00643,0.12838,10.12169,5.69851,0.16810,10.12169,10.12169,0.08396,8.79424,10.12169,9.00469,10.12169,9.99694,0.57292,3.96825,-4.00409
2022,05,08,06,38,47,883,tr,0.000,0.000000,-0.248535,-2.206541,-0.00708,-0.01181,-0.72636,-0.00685,-0.01647,-1.20226,-0.00681,-0.01900,-1.46293,-0.00686,-0.01869,-1.42836,-0.00677,-0.01536,-1.10371,-1.67359,-0.00645,0.12808,10.12169,5.69801,0.16784,10.12169,10.12169,0.08365,8.78949,10.12169,9.00334,10.12169,10.00034,0.57273,3.96791,-4.00394
2022,05,08,06,38,48,133,tr,0.000,0.000000,0.204768,-1.606595,-0.00704,-0.01143,-0.70435,-0.00701,-0.01662,-1.20610,-0.00712,-0.01929,-1.46875,-0.00707,-0.01911,-1.43954,-0.00707,-0.01559,-1.10446,-1.67385,-0.00656,0.12830,10.12169,5.69690,0.16781,10.12169,10.12169,0.08377,8.78892,10.12169,9.00184,10.12169,10.00403,0.57292,3.96806,-4.00406
2022,05,08,06,38,48,384,tr,0.000,0.000000,-0.329007,-2.074139,-0.00689,-0.01147,-0.70381,-0.00657,-0.01608,-1.18995,-0.00673,-0.01882,-1.45379,-0.00664,-0.01857,-1.43044,-0.00662,-0.01521,-1.09953,-1.67338,-0.00641,0.12830,10.12169,5.67807,0.16793,10.12169,10.12169,0.08381,8.79236,10.12169,9.00470,10.12169,10.00748,0.57288,3.96824,-4.00387
