%Mission: MLO2022
%Operator: 
%Time: 2022,05,11,06:24:52.110
%File: C:\Users\pop\Documents\5STARG_Data\5STARG_20220511_062452_RADIOMETERS.dat
%Notes: 
YYYY,MM,DD,hh:mm:ss,state,elev_set,azi_set,elev_pid_out,azi_pid_out,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33,J7_1,J7_2,J7_3,J7_4,J7_5,J7_6,J7_7,J7_8
2022,05,11,06:24:52.137,tr,0.000,0.000000,-0.000000,0.000000,-0.00254,-0.01096,-0.99665,-0.00250,-0.01420,-1.32233,-0.00247,-0.01301,-1.19475,-0.00252,-0.01406,-1.30214,-0.00252,-0.01322,-1.21877,-1.66956,-0.00253,0.12243,10.12169,10.12169,0.11887,10.12169,10.12169,0.09425,9.49238,10.12169,9.65695,10.12169,9.80205,0.58468,3.97078,-3.99966,-2.79700,-3.24217,-3.95117,0.27586,0.26645,0.26702,0.25476,0.26673
2022,05,11,06:24:54.287,tr,0.000,0.000000,-0.000000,0.000000,-0.00252,-0.01085,-0.98405,-0.00255,-0.01430,-1.32457,-0.00250,-0.01300,-1.19935,-0.00248,-0.01415,-1.31060,-0.00241,-0.01316,-1.21668,-1.66965,-0.00251,0.12247,10.12169,10.12169,0.11883,10.12169,10.12169,0.09427,9.49319,10.12169,9.65715,10.12169,9.79684,0.58469,3.97073,-3.99961,-2.79565,-3.23113,-3.92756,0.27605,0.26649,0.26699,0.25472,0.26673
2022,05,11,06:24:54.429,tr,0.000,0.000000,-0.000000,0.000000,-0.00253,-0.01073,-0.97615,-0.00246,-0.01416,-1.31454,-0.00248,-0.01304,-1.19685,-0.00255,-0.01415,-1.30735,-0.00251,-0.01322,-1.21766,-1.66965,-0.00255,0.12249,10.12169,10.12169,0.11886,10.12169,10.12169,0.09434,9.49208,10.12169,9.65650,10.12169,9.81415,0.58478,3.97084,-3.99962,-2.78010,-3.17415,-3.87748,0.27611,0.26641,0.26697,0.25477,0.26671
2022,05,11,06:24:54.637,tr,0.000,0.000000,-0.000000,0.000000,-0.00253,-0.01074,-0.97876,-0.00251,-0.01420,-1.31729,-0.00250,-0.01300,-1.19122,-0.00249,-0.01412,-1.30549,-0.00249,-0.01326,-1.22088,-1.66964,-0.00258,0.12244,10.12169,10.12169,0.11889,10.12169,10.12169,0.09430,9.49172,10.12169,9.65597,10.12169,9.81352,0.58474,3.97083,-3.99956,-2.79534,-3.22989,-3.91650,0.27614,0.26635,0.26695,0.25467,0.26666
2022,05,11,06:24:54.887,tr,0.000,0.000000,-0.000000,0.000000,-0.00253,-0.01078,-0.98295,-0.00256,-0.01416,-1.31482,-0.00246,-0.01289,-1.19173,-0.00244,-0.01404,-1.30391,-0.00246,-0.01325,-1.22071,-1.66959,-0.00252,0.12250,10.12169,10.12169,0.11881,10.12169,10.12169,0.09420,9.49098,10.12169,9.65627,10.12169,9.83429,0.58474,3.97078,-3.99965,-2.77650,-3.18435,-3.85300,0.27605,0.26643,0.26694,0.25477,0.26666
2022,05,11,06:24:55.137,tr,0.000,0.000000,-0.000000,0.000000,-0.00249,-0.01074,-0.97903,-0.00249,-0.01417,-1.31826,-0.00253,-0.01295,-1.18936,-0.00250,-0.01407,-1.30815,-0.00245,-0.01328,-1.21939,-1.66965,-0.00260,0.12247,10.12169,10.12169,0.11891,10.12169,10.12169,0.09433,9.49248,10.12169,9.65624,10.12169,9.84699,0.58469,3.97078,-3.99959,-2.77195,-3.18875,-3.84883,0.27619,0.26639,0.26690,0.26756,0.26661
2022,05,11,06:24:55.386,tr,0.000,0.000000,-0.000000,0.000000,-0.00254,-0.01097,-0.99278,-0.00249,-0.01414,-1.31542,-0.00245,-0.01290,-1.18944,-0.00249,-0.01410,-1.30630,-0.00246,-0.01320,-1.21641,-1.66962,-0.00251,0.12251,10.12169,10.12169,0.11886,10.12169,10.12169,0.09429,9.49242,10.12169,9.65704,10.12169,9.86189,0.58473,3.97076,-3.99957,-2.75936,-3.15799,-3.79835,0.27614,0.26638,0.26699,0.26756,0.26671
2022,05,11,06:24:55.636,tr,0.000,0.000000,-0.000000,0.000000,-0.00252,-0.01064,-0.96686,-0.00246,-0.01413,-1.31582,-0.00249,-0.01303,-1.19686,-0.00252,-0.01411,-1.30300,-0.00250,-0.01320,-1.21715,-1.66963,-0.00255,0.12245,10.12169,10.12169,0.11882,10.12169,10.12169,0.09432,9.49064,10.12169,9.65464,10.12169,9.87759,0.58474,3.97077,-3.99953,-2.76117,-3.16278,-3.79236,0.27606,0.26637,0.26695,0.26744,0.26667
2022,05,11,06:24:55.887,tr,0.000,0.000000,-0.000000,0.000000,-0.00254,-0.01074,-0.97732,-0.00246,-0.01420,-1.32007,-0.00250,-0.01292,-1.18863,-0.00251,-0.01409,-1.30489,-0.00247,-0.01319,-1.21820,-1.66963,-0.00252,0.12255,10.12169,10.12169,0.11886,10.12169,10.12169,0.09430,9.49273,10.12169,9.65735,10.12169,9.88445,0.58470,3.97073,-3.99962,-2.73773,-3.12313,-3.73273,0.27610,0.26640,0.27893,0.26755,0.26673
2022,05,11,06:24:56.137,tr,0.000,0.000000,-0.000000,0.000000,-0.00248,-0.01101,-0.99576,-0.00246,-0.01430,-1.32596,-0.00253,-0.01291,-1.18110,-0.00250,-0.01420,-1.31311,-0.00253,-0.01321,-1.22165,-1.66961,-0.00257,0.12246,10.12169,10.12169,0.11886,10.12169,10.12169,0.09436,9.49483,10.12169,9.65860,10.12169,9.89994,0.58477,3.97083,-3.99958,-2.73239,-3.12123,-3.72388,0.27609,0.26642,0.26700,0.26761,0.26673
