%Mission: MLO2022
%Operator: 
%Time: 2022,05,11,06:20:27.354
%File: C:\Users\pop\Documents\5STARG_Data\5STARG_20220511_062027_RADIOMETERS.dat
%Notes: 
YYYY,MM,DD,hh:mm:ss,state,elev_set,azi_set,elev_pid_out,azi_pid_out,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33,J7_1,J7_2,J7_3,J7_4,J7_5,J7_6,J7_7,J7_8
2022,05,11,06:20:27.387,tr,0.000,0.000000,-0.000000,0.000000,-0.00239,-0.01071,-0.97510,-0.00232,-0.01393,-1.29961,-0.00237,-0.01297,-1.19831,-0.00245,-0.01417,-1.31909,-0.00239,-0.01274,-1.17298,-1.66956,-0.00250,0.12169,10.12169,10.12169,0.11856,10.12169,10.12169,0.09446,9.49638,10.12169,9.65866,10.12169,9.79532,0.58442,3.97083,-3.99932,-2.81522,-3.28595,-4.03437,0.27685,0.26627,0.26712,0.25443,0.26690
2022,05,11,06:20:29.986,tr,0.000,0.000000,-0.000000,0.000000,-0.00241,-0.01081,-0.98515,-0.00244,-0.01404,-1.30627,-0.00246,-0.01294,-1.19731,-0.00238,-0.01420,-1.32512,-0.00237,-0.01301,-1.21032,-1.66952,-0.00244,0.12176,10.12169,10.12169,0.11866,10.12169,10.12169,0.09434,9.49523,10.12169,9.65779,10.12169,9.79104,0.58444,3.97070,-3.99942,-2.80819,-3.26417,-3.98840,0.27650,0.26602,0.26722,0.25467,0.26697
2022,05,11,06:20:30.136,tr,0.000,0.000000,-0.000000,0.000000,-0.00247,-0.01062,-0.96904,-0.00234,-0.01390,-1.29597,-0.00238,-0.01286,-1.19117,-0.00243,-0.01425,-1.32494,-0.00239,-0.01302,-1.20409,-1.66956,-0.00242,0.12170,10.12169,10.12169,0.11856,10.12169,10.12169,0.09442,9.49391,10.12169,9.65718,10.12169,9.79902,0.58452,3.97075,-3.99935,-2.79697,-3.24161,-3.96292,0.27642,0.26593,0.26718,0.25448,0.26691
2022,05,11,06:20:30.387,tr,0.000,0.000000,-0.000000,0.000000,-0.00244,-0.01069,-0.97567,-0.00239,-0.01399,-1.30180,-0.00245,-0.01291,-1.18990,-0.00238,-0.01421,-1.33001,-0.00240,-0.01303,-1.21071,-1.66960,-0.00244,0.12182,10.12169,10.12169,0.11865,10.12169,10.12169,0.09434,9.49482,10.12169,9.65711,10.12169,9.80348,0.58445,3.97078,-3.99941,-2.78422,-3.22556,-3.93360,0.27625,0.26592,0.26721,0.25460,0.26699
2022,05,11,06:20:30.637,tr,0.000,0.000000,-0.000000,0.000000,-0.00238,-0.01063,-0.97214,-0.00236,-0.01391,-1.29791,-0.00246,-0.01287,-1.19108,-0.00242,-0.01423,-1.32664,-0.00241,-0.01317,-1.21987,-1.66960,-0.00246,0.12179,10.12169,10.12169,0.11857,10.12169,10.12169,0.09441,9.49565,10.12169,9.65867,10.12169,9.82309,0.58450,3.97078,-3.99938,-2.79707,-3.22269,-3.91058,0.27642,0.26588,0.26722,0.25457,0.26690
2022,05,11,06:20:30.887,tr,0.000,0.000000,-0.000000,0.000000,-0.00244,-0.01070,-0.97105,-0.00239,-0.01402,-1.30797,-0.00248,-0.01286,-1.19032,-0.00237,-0.01418,-1.32598,-0.00238,-0.01306,-1.21396,-1.66953,-0.00245,0.12174,10.12169,10.12169,0.11867,10.12169,10.12169,0.09437,9.49598,10.12169,9.65782,10.12169,9.83460,0.58450,3.97073,-3.99939,-2.78085,-3.20106,-3.87070,0.27636,0.26589,0.26719,0.25461,0.26691
2022,05,11,06:20:31.137,tr,0.000,0.000000,-0.000000,0.000000,-0.00241,-0.01061,-0.96937,-0.00235,-0.01392,-1.30180,-0.00235,-0.01291,-1.19471,-0.00243,-0.01428,-1.32780,-0.00245,-0.01315,-1.21955,-1.66954,-0.00247,0.12170,10.12169,10.12169,0.11852,10.12169,10.12169,0.09440,9.49442,10.12169,9.65678,10.12169,9.85011,0.58453,3.97079,-3.99941,-2.76745,-3.18389,-3.84143,0.27637,0.26584,0.26720,0.25460,0.26689
2022,05,11,06:20:31.387,tr,0.000,0.000000,-0.000000,0.000000,-0.00246,-0.01059,-0.96672,-0.00242,-0.01395,-1.30209,-0.00241,-0.01290,-1.19345,-0.00239,-0.01425,-1.32791,-0.00241,-0.01309,-1.21182,-1.66947,-0.00242,0.12177,10.12169,10.12169,0.11861,10.12169,10.12169,0.09438,9.49734,10.12169,9.66001,10.12169,9.85246,0.58445,3.97077,-3.99937,-2.75393,-3.16478,-3.81287,0.27628,0.26577,0.26717,0.26733,0.26691
2022,05,11,06:20:31.636,tr,0.000,0.000000,-0.000000,0.000000,-0.00240,-0.01063,-0.96804,-0.00239,-0.01393,-1.30012,-0.00240,-0.01288,-1.19211,-0.00239,-0.01425,-1.33001,-0.00239,-0.01311,-1.21027,-1.66957,-0.00248,0.12173,10.12169,10.12169,0.11850,10.12169,10.12169,0.09443,9.49672,10.12169,9.66011,10.12169,9.87539,0.58446,3.97078,-3.99935,-2.74613,-3.14485,-3.79169,0.27629,0.26572,0.26714,0.26724,0.26687
2022,05,11,06:20:31.887,tr,0.000,0.000000,-0.000000,0.000000,-0.00242,-0.01053,-0.95996,-0.00243,-0.01395,-1.30166,-0.00242,-0.01286,-1.18886,-0.00239,-0.01417,-1.32288,-0.00237,-0.01303,-1.20934,-1.66950,-0.00243,0.12180,10.12169,10.12169,0.11868,10.12169,10.12169,0.09444,9.49860,10.12169,9.66141,10.12169,9.89030,0.58440,3.97072,-3.99938,-2.72419,-3.11949,-3.74802,0.27624,0.26577,0.26719,0.26738,0.26687
