%Mission: MLO2022
%Operator: 
%Time: 2022,05,11,05:57:38.133
%File: C:\Users\pop\Documents\5STARG_Data\5STARG_20220511_055738_RADIOMETERS.dat
%Notes: 
YYYY,MM,DD,hh:mm:ss,state,elev_set,azi_set,elev_pid_out,azi_pid_out,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33,J7_1,J7_2,J7_3,J7_4,J7_5,J7_6,J7_7,J7_8
2022,05,11,05:57:38.137,tr,0.000,0.000000,-0.000000,0.000000,-0.00325,-0.01237,-1.07947,-0.00326,-0.01573,-1.41713,-0.00330,-0.01331,-1.17232,-0.00326,-0.01498,-1.34104,-0.00319,-0.01459,-1.30466,-1.67000,-0.00316,0.11085,10.12169,10.12169,0.10810,10.12169,10.12169,0.08610,8.72124,10.12169,8.89807,10.12169,9.76583,0.58555,3.96898,-3.99880,-2.88506,-3.34281,-4.07477,0.27016,0.25742,0.25888,0.24858,0.25765
2022,05,11,05:57:39.887,tr,0.000,0.000000,-0.000000,0.000000,-0.00325,-0.01223,-1.06929,-0.00328,-0.01552,-1.39767,-0.00326,-0.01329,-1.17271,-0.00321,-0.01496,-1.33913,-0.00325,-0.01456,-1.30389,-1.67002,-0.00316,0.11090,10.12169,10.12169,0.10819,10.12169,10.12169,0.08612,8.72342,10.12169,8.89945,10.12169,9.76579,0.58558,3.96893,-3.99871,-2.88599,-3.33388,-4.05081,0.27019,0.25753,0.25889,0.24871,0.25774
2022,05,11,05:57:40.137,tr,0.000,0.000000,-0.000000,0.000000,-0.00327,-0.01217,-1.06738,-0.00319,-0.01539,-1.38821,-0.00318,-0.01326,-1.17100,-0.00318,-0.01493,-1.34196,-0.00329,-0.01456,-1.30194,-1.67009,-0.00319,0.11080,10.12169,10.12169,0.10810,10.12169,10.12169,0.08601,8.72119,10.12169,8.89937,10.12169,9.77128,0.58563,3.96904,-3.99867,-2.89690,-3.34664,-4.05455,0.27021,0.25761,0.25901,0.24879,0.25781
2022,05,11,05:57:40.387,tr,0.000,0.000000,-0.000000,0.000000,-0.00332,-0.01207,-1.05290,-0.00328,-0.01540,-1.38601,-0.00327,-0.01326,-1.16841,-0.00327,-0.01502,-1.34303,-0.00318,-0.01461,-1.30968,-1.67000,-0.00311,0.11092,10.12169,10.12169,0.10817,10.12169,10.12169,0.08609,8.72359,10.12169,8.90018,10.12169,9.79181,0.58552,3.96898,-3.99873,-2.88642,-3.31585,-4.01537,0.27011,0.25759,0.25897,0.24869,0.25780
2022,05,11,05:57:40.637,tr,0.000,0.000000,-0.000000,0.000000,-0.00322,-0.01206,-1.05795,-0.00326,-0.01538,-1.38863,-0.00317,-0.01314,-1.16893,-0.00317,-0.01496,-1.34574,-0.00324,-0.01462,-1.30241,-1.67010,-0.00322,0.11086,10.12169,10.12169,0.10811,10.12169,10.12169,0.08601,8.72305,10.12169,8.90054,10.12169,9.80365,0.58559,3.96906,-3.99863,-2.87311,-3.28537,-3.97436,0.27023,0.25762,0.25901,0.24881,0.25774
2022,05,11,05:57:40.886,tr,0.000,0.000000,-0.000000,0.000000,-0.00332,-0.01222,-1.06751,-0.00328,-0.01548,-1.38912,-0.00322,-0.01328,-1.16924,-0.00327,-0.01502,-1.34412,-0.00320,-0.01452,-1.30292,-1.67002,-0.00316,0.11092,10.12169,10.12169,0.10827,10.12169,10.12169,0.08616,8.72552,10.12169,8.90195,10.12169,9.81310,0.58559,3.96900,-3.99873,-2.85354,-3.26920,-3.94594,0.27010,0.25757,0.25891,0.24874,0.25774
2022,05,11,05:57:41.136,tr,0.000,0.000000,-0.000000,0.000000,-0.00326,-0.01216,-1.06852,-0.00319,-0.01545,-1.39317,-0.00318,-0.01325,-1.17687,-0.00319,-0.01496,-1.34567,-0.00324,-0.01465,-1.30715,-1.67009,-0.00320,0.11094,10.12169,10.12169,0.10809,10.12169,10.12169,0.08608,8.72523,10.12169,8.90245,10.12169,9.82730,0.58563,3.96906,-3.99872,-2.85102,-3.25335,-3.91145,0.27014,0.25761,0.25898,0.26143,0.25780
2022,05,11,05:57:41.387,tr,0.000,0.000000,-0.000000,0.000000,-0.00337,-0.01204,-1.05068,-0.00331,-0.01552,-1.39563,-0.00329,-0.01340,-1.18419,-0.00329,-0.01509,-1.34880,-0.00317,-0.01460,-1.31010,-1.67010,-0.00316,0.11099,10.12169,10.12169,0.10812,10.12169,10.12169,0.08611,8.72711,10.12169,8.90304,10.12169,9.84264,0.58557,3.96897,-3.99868,-2.82941,-3.22489,-3.87465,0.27012,0.25758,0.27062,0.26140,0.25774
2022,05,11,05:57:41.637,tr,0.000,0.000000,-0.000000,0.000000,-0.00327,-0.01239,-1.08813,-0.00322,-0.01538,-1.39149,-0.00319,-0.01326,-1.17335,-0.00320,-0.01498,-1.34184,-0.00324,-0.01462,-1.30404,-1.67011,-0.00321,0.11088,10.12169,10.12169,0.10816,10.12169,10.12169,0.08610,8.72603,10.12169,8.90364,10.12169,9.85664,0.58559,3.96912,-3.99866,-2.82320,-3.20220,-3.83533,0.27029,0.25755,0.25902,0.26140,0.25785
2022,05,11,05:57:41.887,tr,0.000,0.000000,-0.000000,0.000000,-0.00332,-0.01247,-1.08479,-0.00328,-0.01553,-1.40168,-0.00328,-0.01336,-1.17599,-0.00330,-0.01513,-1.35218,-0.00316,-0.01455,-1.30746,-1.67000,-0.00320,0.11095,10.12169,10.12169,0.10823,10.12169,10.12169,0.08610,8.72771,10.12169,8.90437,10.12169,9.86846,0.58556,3.96905,-3.99876,-2.81190,-3.18616,-3.80005,0.27010,0.25754,0.25897,0.26128,0.25775
2022,05,11,05:57:42.137,tr,0.000,0.000000,-0.000000,0.000000,-0.00323,-0.01246,-1.09077,-0.00315,-0.01544,-1.39633,-0.00320,-0.01330,-1.17467,-0.00317,-0.01489,-1.34003,-0.00325,-0.01458,-1.30518,-1.67009,-0.00318,0.11084,10.12169,10.12169,0.10817,10.12169,10.12169,0.08610,8.72622,10.12169,8.90420,10.12169,9.88236,0.58559,3.96905,-3.99862,-2.80799,-3.17858,-3.78388,0.27024,0.25767,0.27088,0.24887,0.25777
2022,05,11,05:57:42.386,tr,0.000,0.000000,-0.000000,0.000000,-0.00330,-0.01248,-1.08918,-0.00327,-0.01541,-1.38661,-0.00323,-0.01336,-1.17353,-0.00329,-0.01506,-1.34959,-0.00321,-0.01448,-1.29654,-1.67004,-0.00314,0.11092,10.12169,10.12169,0.10824,10.12169,10.12169,0.08616,8.72826,10.12169,8.90479,10.12169,9.88524,0.58552,3.96897,-3.99872,-2.79314,-3.16426,-3.75682,0.27004,0.25756,0.25899,0.26129,0.25782
2022,05,11,05:57:42.637,tr,0.000,0.000000,-0.000000,0.000000,-0.00325,-0.01239,-1.08720,-0.00319,-0.01538,-1.38993,-0.00317,-0.01319,-1.17091,-0.00315,-0.01495,-1.34173,-0.00325,-0.01457,-1.29728,-1.67008,-0.00314,0.11097,10.12169,10.12169,0.10816,10.12169,10.12169,0.08601,8.72558,10.12169,8.90316,10.12169,9.90017,0.58559,3.96904,-3.99868,-2.78501,-3.15273,-3.73784,0.27026,0.25765,0.27083,0.24886,0.25786
2022,05,11,05:57:42.887,tr,0.000,0.000000,-0.000000,0.000000,-0.00330,-0.01228,-1.07487,-0.00331,-0.01557,-1.40905,-0.00326,-0.01328,-1.16802,-0.00326,-0.01500,-1.34240,-0.00316,-0.01461,-1.30573,-1.67004,-0.00316,0.11103,10.12169,10.12169,0.10825,10.12169,10.12169,0.08617,8.72865,10.12169,8.90527,10.12169,9.90980,0.58549,3.96902,-3.99875,-2.77706,-3.13876,-3.71581,0.27015,0.25762,0.25901,0.26133,0.25774
2022,05,11,05:57:43.137,tr,0.000,0.000000,-0.000000,0.000000,-0.00328,-0.01227,-1.07282,-0.00316,-0.01565,-1.41275,-0.00317,-0.01310,-1.15891,-0.00318,-0.01488,-1.34278,-0.00321,-0.01464,-1.30864,-1.67006,-0.00322,0.11095,10.12169,10.12169,0.10820,10.12169,10.12169,0.08611,8.73102,10.12169,8.90854,10.12169,9.91962,0.58553,3.96909,-3.99869,-2.77675,-3.13443,-3.69477,0.27024,0.25769,0.27088,0.26144,0.25785
2022,05,11,05:57:43.387,tr,0.000,0.000000,-0.000000,0.000000,-0.00327,-0.01229,-1.07297,-0.00325,-0.01573,-1.41825,-0.00327,-0.01317,-1.16357,-0.00330,-0.01502,-1.34837,-0.00324,-0.01448,-1.29949,-1.67002,-0.00316,0.11099,10.12169,10.12169,0.10827,10.12169,10.12169,0.08622,8.73257,10.12169,8.90872,10.12169,9.92782,0.58557,3.96898,-3.99876,-2.76469,-3.12006,-3.67140,0.27016,0.25760,0.27079,0.26151,0.25784
2022,05,11,05:57:43.637,tr,0.000,0.000000,-0.000000,0.000000,-0.00323,-0.01228,-1.07607,-0.00321,-0.01555,-1.40463,-0.00314,-0.01312,-1.16480,-0.00315,-0.01497,-1.34196,-0.00326,-0.01462,-1.30803,-1.67009,-0.00321,0.11099,10.12169,10.12169,0.10816,10.12169,10.12169,0.08614,8.73000,10.12169,8.90718,10.12169,9.93447,0.58563,3.96904,-3.99868,-2.76309,-3.11676,-3.65520,0.27019,0.25769,0.25909,0.26148,0.25790
2022,05,11,05:57:43.886,tr,0.000,0.000000,-0.000000,0.000000,-0.00330,-0.01225,-1.07450,-0.00328,-0.01569,-1.41443,-0.00330,-0.01333,-1.17147,-0.00328,-0.01504,-1.34810,-0.00318,-0.01451,-1.29774,-1.67001,-0.00317,0.11104,10.12169,10.12169,0.10825,10.12169,10.12169,0.08624,8.73047,10.12169,8.90597,10.12169,9.94114,0.58555,3.96904,-3.99870,-2.75303,-3.10858,-3.64074,0.27022,0.25753,0.25903,0.26147,0.25784
2022,05,11,05:57:44.137,tr,0.000,0.000000,-0.000000,0.000000,-0.00321,-0.01230,-1.07517,-0.00319,-0.01560,-1.41334,-0.00318,-0.01318,-1.16375,-0.00313,-0.01495,-1.34550,-0.00329,-0.01451,-1.29567,-1.67007,-0.00326,0.11097,10.12169,10.12169,0.10823,10.12169,10.12169,0.08611,8.72769,10.12169,8.90554,10.12169,9.95166,0.58556,3.96906,-3.99870,-2.74733,-3.09840,-3.62158,0.27027,0.25772,0.27092,0.26146,0.25792
2022,05,11,05:57:44.387,tr,0.000,0.000000,-0.000000,0.000000,-0.00334,-0.01240,-1.07972,-0.00325,-0.01565,-1.41385,-0.00328,-0.01333,-1.17062,-0.00322,-0.01508,-1.35084,-0.00326,-0.01447,-1.29511,-1.67000,-0.00317,0.11097,10.12169,10.12169,0.10828,10.12169,10.12169,0.08623,8.73170,10.12169,8.90833,10.12169,9.95912,0.58549,3.96901,-3.99866,-2.75355,-3.10541,-3.62337,0.27015,0.25767,0.25895,0.26136,0.25788
2022,05,11,05:57:44.637,tr,0.000,0.000000,-0.000000,0.000000,-0.00323,-0.01250,-1.09883,-0.00325,-0.01568,-1.41584,-0.00319,-0.01329,-1.17236,-0.00319,-0.01494,-1.34173,-0.00332,-0.01450,-1.29132,-1.67011,-0.00322,0.11093,10.12169,10.12169,0.10826,10.12169,10.12169,0.08606,8.72805,10.12169,8.90573,10.12169,9.96079,0.58554,3.96911,-3.99868,-2.74975,-3.10044,-3.60866,0.27022,0.25770,0.25913,0.26148,0.25790
2022,05,11,05:57:44.887,tr,0.000,0.000000,-0.000000,0.000000,-0.00331,-0.01223,-1.06921,-0.00325,-0.01577,-1.41859,-0.00331,-0.01333,-1.17218,-0.00321,-0.01500,-1.34639,-0.00314,-0.01447,-1.29195,-1.67003,-0.00313,0.11104,10.12169,10.12169,0.10833,10.12169,10.12169,0.08611,8.73010,10.12169,8.90678,10.12169,9.96195,0.58552,3.96904,-3.99873,-2.74579,-3.09301,-3.59849,0.27012,0.25761,0.25901,0.26134,0.25788
2022,05,11,05:57:45.136,tr,0.000,0.000000,-0.000000,0.000000,-0.00325,-0.01224,-1.08009,-0.00322,-0.01565,-1.41563,-0.00321,-0.01319,-1.16923,-0.00316,-0.01496,-1.34672,-0.00323,-0.01455,-1.29658,-1.67008,-0.00321,0.11095,10.12169,10.12169,0.10819,10.12169,10.12169,0.08609,8.72938,10.12169,8.90617,10.12169,9.97398,0.58559,3.96909,-3.99866,-2.74698,-3.09527,-3.60588,0.27021,0.25772,0.25906,0.26145,0.25786
