Instrument: 905
Site: NASA_Ames
2025/JUL/10 -> 2025/JUL/18
Date	Time	JDay	Type	V1_1020	V1_1640	V1_870	V1_675	V1_440	V1_500	V1_1020(InGaAs)	V1_935	V1_380	V1_340	V2_1020	V2_1640	V2_870	V2_675	V2_440	V2_500	V2_1020(InGaAs)	V2_935	V2_380	V2_340	V3_1020	V3_1640	V3_870	V3_675	V3_440	V3_500	V3_1020(InGaAs)	V3_935	V3_380	V3_340	Temperature	offset(sec)	Level	Zenith	AirMass	AOD_1020	AOD_1640	AOD_870	AOD_675	AOD_440	AOD_500	AOD_1020(InGaAs)	Water_Vapor	AOD_380	AOD_340	Alpha
JUL/10/2025	08:10:16	191.340463	moon	4779.746096	13591.742089	7458.434033	7391.921775	2299.000553	3957.289386	6079.911374	1515.587578	231.000000	23.000000	4784.904466	13599.745470	7455.436671	7400.908307	2278.037022	3957.289386	6063.940502	1521.597839	216.000000	28.000000	4778.714421	13584.739131	7454.437551	7375.945718	2292.012709	3946.310777	6057.951425	1521.597839	207.000000	29.000000	14.9	30	L1.5V	66.010117	2.447961	0.043189	0.029671	0.045181	0.051777	0.087147	0.073971	0.041821	1.605619			0.984248
JUL/10/2025	08:15:16	191.343935	moon	4761.702355	13526.743993	7452.513915	7370.075105	2275.077357	3927.425253	6051.143553	1512.550378	226.000000	16.000000	4779.235155	13559.758012	7446.519132	7382.057343	2289.053260	3931.417554	6051.143553	1511.548689	97.000000	2.000000	4770.984426	13553.755463	7443.521741	7365.082505	2280.068751	3937.406004	6062.123853	1515.555445	216.000000	14.000000	15.0	30	L1.5V	66.102778	2.456791	0.044135	0.031082	0.045692	0.052618	0.087733	0.075671	0.042718	1.604770			0.984585
JUL/10/2025	08:20:16	191.347407	moon	4548.214725	13111.567692	7028.882610	6971.665680	2130.326933	3732.800622	5852.499942	1439.427082	194.000000	17.000000	4480.146205	12853.458089	6960.941741	6852.841816	2107.366521	3655.948845	5780.628887	1436.422015	207.000000	22.000000	4561.622161	12989.515864	7031.880002	6889.787051	2103.373406	3517.216415	5447.227048	1343.264939	193.000000	2.000000	15.0	30	L1.5V	66.214969	2.467577	0.065081	0.048230	0.070381	0.078989	0.117528	0.106878	0.067815	1.623442			0.785659
JUL/10/2025	08:25:16	191.350880	moon	4709.103953	13339.664551	7283.660871	7169.372612	2212.185793	3815.640850	5957.311897	1495.521665	276.000000	83.000000	4677.132376	13331.661153	7229.707828	7165.378533	2193.218497	3798.673574	5951.322643	1484.503086	196.000000	24.000000	4670.944329	13281.639912	7246.693045	7137.419977	2186.230545	3779.710149	5918.381743	1457.457484	204.000000	16.000000	15.0	30	L1.5V	66.346588	2.480362	0.051374	0.037961	0.056272	0.064074	0.100330	0.088055	0.050294	1.585340			0.871131
JUL/10/2025	08:30:16	191.354352	moon	4581.802755	13150.611147	7092.897779	6987.755948	2126.366722	3701.933338	5813.740787	1424.371670	211.000000	16.000000	4612.733017	13186.626514	7140.856518	6990.751557	2120.376957	3695.944769	5814.739026	1431.383345	198.000000	14.000000	4347.763775	12886.498455	7091.898638	7014.716424	2126.366722	3741.857127	5890.605149	1455.423373	204.000000	5.000000	15.1	30	L1.5V	66.497517	2.495203	0.066309	0.045228	0.064179	0.072677	0.112076	0.095951	0.057140	1.592408			0.821216
JUL/10/2025	08:35:16	191.357824	moon	4504.477101	13042.565046	7046.937320	6866.933075	2083.440070	3635.060991	5718.908134	1396.324970	218.000000	20.000000	3227.057296	8705.714584	4798.871395	4774.001313	1562.330479	2803.648085	4441.162906	1076.792929	143.000000	27.000000	3712.662403	11113.742049	6412.483159	6488.487875	2007.569708	3510.299150	5721.902849	1403.336645	205.000000	20.000000	15.1
JUL/10/2025	08:40:16	191.361296	moon	4696.244723	13302.676031	7229.780015	7078.622738	2125.368428	3746.847600	5880.622764	1424.371670	194.000000	12.000000	4478.701883	12888.499308	6875.085169	6651.249267	2042.510006	3450.413467	5648.033203	1380.298285	195.000000	24.000000	4070.422429	11671.980240	6458.443618	6463.524472	2018.550945	3577.171497	5733.881711	1394.321635	179.000000	16.000000	15.1	30	L1	66.856742	2.531315	0.075060	0.059344	0.078320	0.087004	0.119386	0.106326	0.062596	1.549125			0.617332
JUL/10/2025	08:45:16	191.364769	moon	4633.353191	13238.648711	6981.993193	6976.772051	2092.424718	3660.013359	5821.726695	1398.328306	192.000000	81.000000	4515.818197	12997.545837	6987.988035	6794.039936	2039.515124	3560.203887	5633.059626	1354.254921	200.000000	9.000000	3554.918069	9353.991192	4854.823258	4669.155018	1405.598284	2429.362562	3716.441784	827.377637	116.000000	1.000000	15.1
JUL/10/2025	08:50:16	191.368241	moon	4661.190426	13336.690544	7226.782594	7056.654942	2085.436659	3716.904759	5915.561110	1316.191543	257.000000	22.000000	4646.756304	13310.679446	7234.775717	7073.630057	2109.395720	3697.940959	5914.562872	1412.351656	215.000000	2.000000	4669.438496	13336.690544	7225.783453	7269.343141	2120.376957	3712.912380	5948.502980	1334.221564	195.000000	13.000000	15.1	30	L1.5V	67.291372	2.576554	0.052169	0.036417	0.056094	0.062277	0.105462	0.089556	0.049990	1.670050			0.953180
JUL/10/2025	08:55:16	191.371713	moon	4534.807289	13074.551974	7089.829567	6749.994270	1992.564460	3461.324213	5656.850959	1315.217647	164.000000	0.000000	4421.359756	12850.456814	6857.032175	6640.157085	1968.605769	3458.329988	5656.850959	1303.197379	174.000000	18.000000	3916.002565	11752.990786	6434.400001	6130.911955	1778.932800	3080.059551	4929.156526	1131.908561	137.000000	17.000000	15.0	30	L1	67.536502	2.602850	0.084125	0.059265	0.079765	0.096930	0.139338	0.128979	0.085053	1.678680			0.842342
