#1    2          3          4          5         6         7         8        9         10      11      12     13     14     15     16     17          18          19          20           21           22           23           24           25             26           27           28                    29              30
#time angular_vx angular_vy angular_vz linear_ax linear_ay linear_az imu_temp imu_press imu_lat imu_lon ch1_1x ch2_1x ch3_1x ch4_1x ch5_1x motor_0_enc motor_1_enc motor_2_enc quaternion_w quaternion_x quaternion_y quaternion_z sun_ephem_az sun_ephem_elev camera_sun_x camera_sun_y camera_sun_brightness camera_target_x camera_target_y hot_block1_temp
2025-07-11T13:22:24.338344111-07:00 -0.000754371 -0.0157729 0.00056196 0.00293629 -0.000608963 0.0201473 54.2539 101081 37.4198 -122.057 -0.765234 -1.28264 -1.32436 -1.31874 -1.39292 104.21 92.744 0 0.206185 -0.0153842 -0.0332406 -0.977827 187.419 74.45 0.5075 0.521667 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.358239128-07:00 -0.000754371 -0.0157729 0.00056196 0.00293629 -0.000608963 0.0201473 54.2539 101081 37.4198 -122.057 -0.765234 -1.28264 -1.32436 -1.31874 -1.39292 104.201 92.744 0 0.206185 -0.0153842 -0.0332406 -0.977827 187.419 74.45 0.5075 0.521667 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.378493280-07:00 -0.00130311 -0.0158429 0.000818633 0.00821561 0.00153257 0.0153484 54.2539 101081 37.4198 -122.057 -0.766059 -1.28259 -1.3243 -1.31895 -1.39316 104.201 92.744 0 0.20617 -0.0153906 -0.0332297 -0.977831 187.419 74.45 0.5075 0.521667 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.398225708-07:00 -0.00130311 -0.0158429 0.000818633 0.00821561 0.00153257 0.0153484 54.2539 101081 37.4198 -122.057 -0.766059 -1.28259 -1.3243 -1.31895 -1.39316 104.192 92.744 0 0.20617 -0.0153906 -0.0332297 -0.977831 187.419 74.45 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.418134725-07:00 -0.00130311 -0.0158429 0.000818633 0.00821561 0.00153257 0.0153484 54.2539 101081 37.4198 -122.057 -0.766059 -1.28259 -1.3243 -1.31895 -1.39316 104.192 92.744 0 0.20617 -0.0153906 -0.0332297 -0.977831 187.419 74.45 0.5075 0.521667 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.438111260-07:00 -0.00159517 -0.0162471 0.000577606 0.0160864 0.00722152 0.00901318 54.2539 101081 37.4198 -122.057 -0.766059 -1.28259 -1.3243 -1.31895 -1.39316 104.183 92.744 0 0.206165 -0.0153855 -0.0332298 -0.977832 187.419 74.45 0.5075 0.525 183 0.5043 0.5251 40.125
2025-07-11T13:22:24.458122567-07:00 -0.00159517 -0.0162471 0.000577606 0.0160864 0.00722152 0.00901318 54.2539 101081 37.4198 -122.057 -0.766059 -1.28259 -1.3243 -1.31895 -1.39316 104.183 92.744 0 0.206165 -0.0153855 -0.0332298 -0.977832 187.423 74.4499 0.5075 0.521667 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.478121413-07:00 -0.00159517 -0.0162471 0.000577606 0.0160864 0.00722152 0.00901318 54.2539 101081 37.4198 -122.057 -0.766059 -1.28259 -1.3243 -1.31895 -1.39316 104.17 92.744 0 0.206165 -0.0153855 -0.0332298 -0.977832 187.423 74.4499 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.498134722-07:00 -0.00159517 -0.0162471 0.000577606 0.0160864 0.00722152 0.00901318 54.2539 101081 37.4198 -122.057 -0.766059 -1.28259 -1.3243 -1.31895 -1.39316 104.17 92.744 0 0.206165 -0.0153855 -0.0332298 -0.977832 187.423 74.4499 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.518172566-07:00 -0.00185594 -0.0156254 0.00108201 -0.00212301 0.00761189 -0.0110035 54.2539 101081 37.4198 -122.057 -0.766059 -1.28259 -1.3243 -1.31895 -1.39316 104.166 92.744 0 0.206164 -0.01538 -0.0332167 -0.977833 187.423 74.4499 0.5075 0.521667 184 0.5043 0.5251 40.125
