YYYY,MM,DD,hh,mm,ss,msec,lat,lon,alt,state,elev_set,azi_set,elev_pid_out,azi_pid_out,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,09,20,27,52,465,19.5364,-155.57557,3397,tr,0.000,0.000000,0.366642,11.151998,-1.25178,-10.24307,-9.68466,-1.40297,-10.11964,-9.65996,-1.49300,-10.10859,-9.67254,-1.58514,-10.08130,-9.65951,-1.35047,-10.14829,-9.68690,-1.66970,0.00137,-1.51713,-10.19532,-9.63652,-0.23620,-10.07646,-9.68558,-1.27618,-10.07429,-9.67788,-9.61028,-9.60956,-9.73080,0.56420,3.98611,-3.96976
2022,05,09,20,27,57,394,19.5364,-155.57557,3397,tr,0.000,0.000000,0.367253,11.152927,-1.23926,-10.31059,-9.73806,-1.39113,-10.20991,-9.72282,-1.48094,-10.20248,-9.72158,-1.57313,-10.20331,-9.72394,-1.34823,-10.17778,-9.72819,-1.66969,0.00133,-1.53368,-10.18944,-9.63899,-0.26981,-10.11274,-9.67715,-1.35771,-10.07691,-9.69320,-9.64709,-9.62306,-9.73369,0.56398,3.98598,-3.96977
2022,05,09,20,27,57,508,19.5364,-155.57557,3397,tr,0.000,0.000000,0.320329,12.583945,-1.36826,-10.33871,-9.76928,-1.58665,-10.21421,-9.72451,-1.76392,-10.19866,-9.73327,-1.85460,-10.20058,-9.73099,-1.53586,-10.19305,-9.68788,-1.66962,0.00138,-1.79713,-10.19867,-9.63765,-0.51301,-10.07422,-9.69441,-1.46906,-10.06736,-9.70417,-9.63590,-9.65128,-9.77967,0.56437,3.98631,-3.96942
2022,05,09,20,27,57,715,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.043745,14.665105,-1.38979,-10.35367,-9.75843,-1.63407,-10.19859,-9.72186,-1.79559,-10.18629,-9.72539,-1.86422,-10.19620,-9.71890,-1.54628,-10.14696,-9.69008,-1.66942,0.00154,-1.79877,-10.18579,-9.64186,-0.51352,-10.09111,-9.68917,-1.46858,-10.07375,-9.70467,-9.66608,-9.66346,-9.78078,0.56442,3.98634,-3.96945
2022,05,09,20,27,57,965,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.010980,10.424936,-1.38856,-10.31116,-9.74021,-1.63398,-10.13991,-9.69001,-1.79544,-10.13855,-9.68653,-1.86405,-10.15843,-9.71214,-1.54747,-10.18836,-9.70986,-1.66942,0.00161,-1.80101,-10.22565,-9.65983,-0.51549,-10.11680,-9.71681,-1.47034,-10.09276,-9.71057,-9.64816,-9.64013,-9.75127,0.56433,3.98626,-3.96957
2022,05,09,20,27,58,215,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000316,7.499783,-1.38828,-10.34755,-9.76576,-1.63337,-10.17546,-9.71715,-1.79508,-10.17610,-9.72612,-1.86387,-10.19331,-9.71044,-1.54784,-10.16306,-9.67945,-1.66942,0.00164,-1.80285,-10.20260,-9.62714,-0.51580,-10.08474,-9.69252,-1.46961,-10.05919,-9.69404,-9.65907,-9.65535,-9.75627,0.56438,3.98639,-3.96947
2022,05,09,20,27,58,464,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.002114,6.636820,-1.38812,-10.30844,-9.72850,-1.63320,-10.14888,-9.68052,-1.79493,-10.13675,-9.69790,-1.86381,-10.12788,-9.70484,-1.54781,-10.20411,-9.71646,-1.66945,0.00162,-1.80203,-10.22199,-9.67393,-0.51465,-10.12485,-9.71631,-1.47032,-10.09650,-9.69826,-9.64131,-9.64140,-9.74177,0.56437,3.98636,-3.96941
2022,05,09,20,27,58,715,19.5364,-155.57557,3397,tr,0.000,0.000000,0.003729,3.980224,-1.38946,-10.34424,-9.76896,-1.63407,-10.20890,-9.71474,-1.79671,-10.19221,-9.72842,-1.86378,-10.18360,-9.71872,-1.54803,-10.15434,-9.68840,-1.66952,0.00154,-1.80230,-10.19316,-9.63484,-0.51673,-10.07603,-9.68446,-1.47021,-10.07333,-9.68649,-9.65271,-9.65188,-9.74593,0.56437,3.98628,-3.96950
2022,05,09,20,27,58,965,19.5364,-155.57557,3397,tr,0.000,0.000000,0.005329,2.911153,-1.38950,-10.29559,-9.73004,-1.63386,-10.15341,-9.68188,-1.79730,-10.13340,-9.69571,-1.86363,-10.15276,-9.69729,-1.54874,-10.20532,-9.71799,-1.66949,0.00158,-1.80168,-10.22640,-9.66946,-0.51580,-10.09843,-9.70792,-1.47088,-10.11038,-9.71315,-9.63793,-9.63354,-9.72470,0.56430,3.98628,-3.96954
2022,05,09,20,27,59,215,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.001077,3.741144,-1.39015,-10.33737,-9.76052,-1.63396,-10.20958,-9.73105,-1.79488,-10.18498,-9.73312,-1.86359,-10.20455,-9.71028,-1.54879,-10.16714,-9.69265,-1.66953,0.00153,-1.80244,-10.19805,-9.64415,-0.51584,-10.08209,-9.68260,-1.47132,-10.08180,-9.69931,-9.65538,-9.64587,-9.73503,0.56431,3.98630,-3.96949
2022,05,09,20,27,59,465,19.5364,-155.57557,3397,tr,0.000,0.000000,0.000623,2.425244,-1.38968,-10.31579,-9.72230,-1.63432,-10.16657,-9.70002,-1.79592,-10.12595,-9.69550,-1.86353,-10.15735,-9.70991,-1.54836,-10.19128,-9.71750,-1.66948,0.00159,-1.80169,-10.21926,-9.66506,-0.51553,-10.11793,-9.70614,-1.47049,-10.09928,-9.70596,-9.64408,-9.61974,-9.70814,0.56431,3.98627,-3.96946
2022,05,09,20,27,59,714,19.5364,-155.57557,3397,tr,0.000,0.000000,0.004389,2.345716,-1.38930,-10.35302,-9.74989,-1.63337,-10.19550,-9.71987,-1.79517,-10.17230,-9.71375,-1.86354,-10.19625,-9.71727,-1.54878,-10.14827,-9.69053,-1.66946,0.00158,-1.80143,-10.17827,-9.63152,-0.51534,-10.08592,-9.68391,-1.47062,-10.08081,-9.69534,-9.66133,-9.65414,-9.72399,0.56425,3.98627,-3.96955
2022,05,09,20,27,59,964,19.5364,-155.57557,3397,tr,0.000,0.000000,0.004580,1.788417,-1.38913,-10.32493,-9.73503,-1.63344,-10.16056,-9.69909,-1.79465,-10.14767,-9.68216,-1.86348,-10.16341,-9.71284,-1.54899,-10.19832,-9.71563,-1.66952,0.00150,-1.80129,-10.21157,-9.66469,-0.51512,-10.11972,-9.72464,-1.47070,-10.10072,-9.71532,-9.65217,-9.64190,-9.72707,0.56425,3.98620,-3.96951
2022,05,09,20,28,00,215,19.5364,-155.57557,3397,tr,0.000,0.000000,0.001188,1.838261,-1.38982,-10.35352,-9.76297,-1.63342,-10.18441,-9.72095,-1.79526,-10.18682,-9.72902,-1.86342,-10.19397,-9.71543,-1.54889,-10.15119,-9.67844,-1.66957,0.00154,-1.80055,-10.18747,-9.62972,-0.51540,-10.08903,-9.68640,-1.47117,-10.06080,-9.69175,-9.66106,-9.66395,-9.73809,0.56429,3.98625,-3.96950
2022,05,09,20,28,00,465,19.5364,-155.57557,3397,tr,0.000,0.000000,0.003125,0.311858,-1.38998,-10.31626,-9.72621,-1.63417,-10.12834,-9.68391,-1.79607,-10.13533,-9.69153,-1.86339,-10.15669,-9.71391,-1.54972,-10.19547,-9.70024,-1.66949,0.00151,-1.80241,-10.22391,-9.65093,-0.51574,-10.11402,-9.70858,-1.47139,-10.08566,-9.70491,-9.64341,-9.63129,-9.70915,0.56423,3.98626,-3.96953
2022,05,09,20,28,00,715,19.5364,-155.57557,3397,tr,0.000,0.000000,0.005151,-0.156356,-1.38954,-10.34627,-9.76360,-1.63360,-10.18939,-9.72520,-1.79549,-10.18853,-9.73341,-1.86337,-10.18457,-9.71221,-1.54980,-10.17170,-9.68741,-1.66950,0.00150,-1.80216,-10.19313,-9.64577,-0.51613,-10.11295,-9.70205,-1.47089,-10.09331,-9.70246,-9.66022,-9.65518,-9.73790,0.56430,3.98621,-3.96958
2022,05,09,20,28,00,965,19.5364,-155.57557,3397,tr,0.000,0.000000,0.003752,0.724478,-1.38941,-10.32208,-9.73528,-1.63366,-10.16159,-9.68450,-1.79463,-10.14207,-9.70080,-1.86338,-10.13425,-9.71446,-1.54916,-10.21130,-9.71974,-1.66960,0.00153,-1.80192,-10.22534,-9.66949,-0.51569,-10.10860,-9.72042,-1.47095,-10.10434,-9.69438,-9.63946,-9.63383,-9.71016,0.56425,3.98616,-3.96959
2022,05,09,20,28,01,214,19.5364,-155.57557,3397,tr,0.000,0.000000,0.001262,0.673872,-1.38944,-10.34242,-9.75874,-1.63335,-10.20512,-9.71493,-1.79533,-10.18144,-9.72785,-1.86338,-10.19551,-9.70294,-1.54981,-10.17170,-9.69081,-1.66959,0.00147,-1.80138,-10.19503,-9.63138,-0.51545,-10.07103,-9.68494,-1.47102,-10.07617,-9.70340,-9.65563,-9.65869,-9.73962,0.56424,3.98620,-3.96959
2022,05,09,20,28,01,464,19.5364,-155.57557,3397,tr,0.000,0.000000,0.004647,0.864679,-1.38991,-10.30886,-9.72862,-1.63383,-10.17370,-9.69777,-1.79486,-10.13762,-9.70246,-1.86333,-10.15559,-9.70682,-1.55006,-10.20941,-9.71797,-1.66954,0.00151,-1.80118,-10.23680,-9.67460,-0.51540,-10.11738,-9.71102,-1.47077,-10.10553,-9.71163,-9.64584,-9.63593,-9.71869,0.56422,3.98619,-3.96963
2022,05,09,20,28,01,715,19.5364,-155.57557,3397,tr,0.000,0.000000,0.004902,1.058930,-1.38924,-10.34219,-9.75537,-1.63320,-10.20252,-9.71721,-1.79531,-10.16415,-9.73427,-1.86335,-10.18467,-9.71371,-1.55015,-10.15156,-9.68449,-1.66957,0.00147,-1.80133,-10.19101,-9.63263,-0.51551,-10.08701,-9.67000,-1.47116,-10.07780,-9.70675,-9.66977,-9.65130,-9.73065,0.56423,3.98620,-3.96959
2022,05,09,20,28,01,965,19.5364,-155.57557,3397,tr,0.000,0.000000,0.002451,1.317588,-1.38968,-10.32526,-9.71734,-1.63340,-10.16022,-9.68821,-1.79485,-10.12598,-9.69362,-1.86324,-10.15448,-9.71989,-1.55020,-10.19799,-9.72013,-1.66959,0.00146,-1.80148,-10.22744,-9.67515,-0.51528,-10.12117,-9.71814,-1.47149,-10.09728,-9.70684,-9.64428,-9.62951,-9.68929,0.56420,3.98617,-3.96957
2022,05,09,20,28,02,215,19.5364,-155.57557,3397,tr,0.000,0.000000,0.003777,0.862755,-1.38922,-10.33718,-9.75597,-1.63354,-10.19668,-9.72019,-1.79514,-10.18484,-9.72217,-1.86330,-10.19002,-9.71926,-1.55003,-10.14812,-9.69278,-1.66960,0.00143,-1.80069,-10.17866,-9.62829,-0.51454,-10.08446,-9.68652,-1.47046,-10.07115,-9.69498,-9.66095,-9.65854,-9.74576,0.56424,3.98620,-3.96956
2022,05,09,20,28,02,465,19.5364,-155.57557,3397,tr,0.000,0.000000,0.005146,0.580490,-1.38961,-10.31478,-9.72806,-1.63366,-10.14918,-9.68748,-1.79570,-10.13584,-9.68493,-1.86333,-10.15228,-9.71242,-1.55053,-10.18775,-9.71362,-1.66968,0.00133,-1.80078,-10.22849,-9.66912,-0.51509,-10.11803,-9.71293,-1.47119,-10.09286,-9.70664,-9.64582,-9.64501,-9.71718,0.56410,3.98612,-3.96965
2022,05,09,20,28,02,714,19.5364,-155.57557,3397,tr,0.000,0.000000,0.004556,0.830697,-1.38996,-10.33910,-9.77435,-1.63338,-10.19130,-9.72651,-1.79442,-10.19659,-9.73158,-1.86335,-10.19331,-9.71785,-1.54959,-10.16119,-9.67716,-1.66971,0.00133,-1.80114,-10.19934,-9.62663,-0.51552,-10.08902,-9.68745,-1.47065,-10.06725,-9.68956,-9.66004,-9.65963,-9.73381,0.56411,3.98611,-3.96966
2022,05,09,20,28,02,965,19.5364,-155.57557,3397,tr,0.000,0.000000,0.002661,0.959976,-1.38920,-10.31809,-9.74169,-1.63351,-10.17647,-9.69864,-1.79484,-10.14955,-9.70272,-1.86331,-10.14362,-9.71639,-1.54994,-10.21552,-9.71610,-1.66962,0.00140,-1.80125,-10.22984,-9.66693,-0.51536,-10.11462,-9.72076,-1.47031,-10.10754,-9.69743,-9.64451,-9.63548,-9.71091,0.56407,3.98609,-3.96971
2022,05,09,20,28,03,215,19.5364,-155.57557,3397,tr,0.000,0.100000,0.003908,25.767543,-1.38969,-10.34896,-9.76195,-1.63335,-10.20333,-9.70939,-1.79451,-10.18313,-9.72358,-1.86324,-10.18444,-9.71512,-1.55069,-10.17330,-9.69577,-1.66964,0.00143,-1.80046,-10.20784,-9.64729,-0.51465,-10.08531,-9.69010,-1.47063,-10.08276,-9.68564,-9.65656,-9.66266,-9.73909,0.56422,3.98620,-3.96956
2022,05,09,20,28,03,465,19.5364,-155.57557,3397,tr,0.000,0.100000,0.004134,19.672071,-1.38934,-10.31086,-9.72967,-1.63400,-10.17337,-9.69115,-1.79558,-10.14008,-9.69468,-1.86300,-10.15772,-9.70809,-1.55052,-10.21591,-9.72322,-1.66947,0.00155,-1.80116,-10.23914,-9.67852,-0.51467,-10.10791,-9.72353,-1.47134,-10.10101,-9.70240,-9.63115,-9.63252,-9.70744,0.56432,3.98620,-3.96944
2022,05,09,20,28,03,715,19.5364,-155.57557,3397,tr,0.000,0.100000,0.002526,16.277419,-1.38947,-10.33730,-9.76118,-1.63370,-10.21649,-9.73080,-1.79503,-10.19233,-9.74016,-1.86317,-10.20006,-9.70340,-1.55096,-10.17070,-9.69665,-1.66964,0.00145,-1.80081,-10.19692,-9.63633,-0.51492,-10.07456,-9.68336,-1.47139,-10.08488,-9.70077,-9.65451,-9.65116,-9.73236,0.56414,3.98611,-3.96970
2022,05,09,20,28,03,964,19.5364,-155.57557,3397,tr,0.000,0.100000,0.001788,12.900356,-1.38948,-10.31993,-9.72502,-1.63395,-10.17670,-9.70405,-1.79494,-10.12487,-9.69928,-1.86324,-10.15612,-9.71420,-1.55116,-10.20739,-9.72038,-1.66965,0.00142,-1.80097,-10.21995,-9.66946,-0.51344,-10.12557,-9.71370,-1.47173,-10.10324,-9.70771,-9.64561,-9.62279,-9.70060,0.56419,3.98612,-3.96964
2022,05,09,20,28,04,214,19.5364,-155.57557,3397,tr,0.000,0.100000,0.004161,9.084810,-1.38889,-10.35294,-9.74791,-1.63305,-10.19746,-9.72213,-1.79533,-10.16661,-9.71580,-1.86316,-10.20715,-9.71481,-1.55113,-10.14380,-9.68996,-1.66963,0.00132,-1.79996,-10.18762,-9.63550,-0.51396,-10.08944,-9.68109,-1.47135,-10.07730,-9.69577,-9.66594,-9.65888,-9.72269,0.56416,3.98620,-3.96961
2022,05,09,20,28,04,465,19.5364,-155.57557,3397,tr,0.000,0.100000,0.003559,7.541551,-1.38834,-10.31115,-9.72928,-1.63305,-10.15661,-9.69207,-1.79533,-10.13727,-9.68223,-1.86317,-10.15988,-9.70985,-1.55146,-10.17382,-9.71240,-1.66957,0.00153,-1.79882,-10.22161,-9.67451,-0.51223,-10.12126,-9.72064,-1.47053,-10.09925,-9.70694,-9.64378,-9.63433,-9.71302,0.56421,3.98621,-3.96960
2022,05,09,20,28,04,715,19.5364,-155.57557,3397,tr,0.000,0.100000,0.002343,5.895667,-1.38730,-10.34212,-9.76786,-1.63198,-10.19301,-9.72054,-1.79286,-10.19193,-9.72806,-1.86311,-10.18727,-9.71264,-1.55013,-10.15080,-9.68537,-1.66959,0.00139,-1.79741,-10.19314,-9.63730,-0.51096,-10.08840,-9.68696,-1.47017,-10.06895,-9.70997,-9.66365,-9.65697,-9.73713,0.56418,3.98612,-3.96956
2022,05,09,20,28,04,965,19.5364,-155.57557,3397,tr,0.000,0.100000,0.002367,4.790718,-1.38830,-10.32336,-9.73304,-1.63302,-10.14211,-9.68936,-1.79419,-10.14860,-9.69843,-1.86312,-10.14579,-9.71767,-1.55050,-10.21151,-9.70988,-1.66962,0.00145,-1.79806,-10.23117,-9.66315,-0.51106,-10.12020,-9.72515,-1.47071,-10.09756,-9.70779,-9.64583,-9.64151,-9.71718,0.56416,3.98618,-3.96960
2022,05,09,20,28,05,215,19.5364,-155.57557,3397,tr,0.000,0.100000,0.004056,2.216768,-1.38846,-10.35424,-9.76010,-1.63298,-10.18917,-9.71803,-1.79456,-10.18375,-9.73704,-1.86306,-10.19005,-9.71667,-1.55128,-10.17216,-9.68677,-1.66957,0.00149,-1.79879,-10.20735,-9.63506,-0.51168,-10.08980,-9.68741,-1.47018,-10.07177,-9.69036,-9.65753,-9.66244,-9.73548,0.56421,3.98624,-3.96950
2022,05,09,20,28,05,464,19.5364,-155.57557,3397,tr,0.000,0.100000,0.002920,2.382814,-1.38918,-10.32270,-9.73572,-1.63398,-10.17402,-9.68584,-1.79419,-10.14750,-9.69950,-1.86309,-10.14528,-9.70822,-1.55125,-10.19243,-9.71533,-1.66954,0.00151,-1.79904,-10.23482,-9.67652,-0.51254,-10.11774,-9.71535,-1.47113,-10.10476,-9.70511,-9.64142,-9.63853,-9.71519,0.56425,3.98619,-3.96952
2022,05,09,20,28,05,715,19.5364,-155.57557,3397,tr,0.000,0.100000,0.002195,1.611527,-1.38845,-10.34715,-9.75797,-1.63272,-10.20554,-9.71198,-1.79397,-10.18555,-9.73663,-1.86298,-10.18864,-9.70643,-1.55157,-10.15730,-9.68807,-1.66955,0.00152,-1.79866,-10.19863,-9.64476,-0.51217,-10.07457,-9.68203,-1.47133,-10.08066,-9.70812,-9.65417,-9.65956,-9.74134,0.56421,3.98623,-3.96950
2022,05,09,20,28,05,965,19.5364,-155.57557,3397,tr,0.000,0.100000,0.002975,1.719952,-1.38821,-10.30925,-9.72487,-1.63379,-10.16928,-9.69937,-1.79471,-10.13287,-9.69627,-1.86304,-10.16240,-9.70949,-1.55125,-10.20739,-9.71967,-1.66955,0.00144,-1.79839,-10.22386,-9.66955,-0.51173,-10.11161,-9.71279,-1.47051,-10.10538,-9.70664,-9.63406,-9.62540,-9.70696,0.56415,3.98624,-3.96955
2022,05,09,20,28,06,215,19.5364,-155.57557,3397,tr,0.000,0.100000,0.003512,0.903955,-1.38841,-10.32950,-9.76223,-1.63292,-10.20458,-9.72468,-1.79447,-10.16880,-9.72826,-1.86300,-10.19968,-9.70883,-1.55145,-10.16043,-9.69274,-1.66958,0.00146,-1.79931,-10.19259,-9.63488,-0.51202,-10.08506,-9.67468,-1.47106,-10.08021,-9.70739,-9.66988,-9.64359,-9.72749,0.56424,3.98618,-3.96957
2022,05,09,20,28,06,465,19.5364,-155.57557,3397,tr,0.000,0.100000,0.003130,1.093366,-1.38787,-10.31733,-9.71806,-1.63282,-10.17111,-9.70094,-1.79413,-10.12599,-9.69310,-1.86308,-10.16042,-9.71983,-1.55205,-10.19410,-9.71676,-1.66957,0.00145,-1.79856,-10.22208,-9.66699,-0.51177,-10.12078,-9.70559,-1.47090,-10.09841,-9.70529,-9.64404,-9.62829,-9.69865,0.56417,3.98612,-3.96956
2022,05,09,20,28,06,715,19.5364,-155.57557,3397,tr,0.000,0.100000,0.003430,1.112312,-1.38867,-10.35049,-9.75397,-1.63327,-10.19890,-9.72062,-1.79412,-10.19107,-9.72733,-1.86297,-10.20424,-9.71384,-1.55194,-10.13545,-9.68349,-1.66961,0.00147,-1.79834,-10.18516,-9.64211,-0.51210,-10.08678,-9.68949,-1.47105,-10.07705,-9.70414,-9.66386,-9.65664,-9.72619,0.56420,3.98611,-3.96959
2022,05,09,20,28,06,964,19.5364,-155.57557,3397,tr,0.000,0.100000,0.003867,0.785668,-1.38851,-10.30776,-9.73991,-1.63355,-10.15295,-9.69802,-1.79365,-10.14599,-9.68736,-1.86306,-10.15854,-9.71266,-1.55123,-10.19294,-9.70639,-1.66960,0.00143,-1.79862,-10.21972,-9.66853,-0.51210,-10.13224,-9.72464,-1.47086,-10.09569,-9.71317,-9.65192,-9.63945,-9.71688,0.56416,3.98617,-3.96957
2022,05,09,20,28,07,215,19.5364,-155.57557,3397,tr,0.000,0.100000,0.003279,-0.641691,-1.38819,-10.35310,-9.77561,-1.63322,-10.17928,-9.72434,-1.79396,-10.22870,-9.74551,-1.86305,-10.23667,-9.74347,-1.55165,-10.15946,-9.67759,-1.66963,0.00142,-1.79839,-10.20339,-9.63244,-0.51147,-10.09383,-9.68793,-1.47044,-10.07360,-9.70345,-9.67044,-9.66040,-9.74370,0.56415,3.98613,-3.96957
2022,05,09,20,28,07,465,19.5364,-155.57557,3397,tr,0.000,0.100000,0.002168,0.653359,-1.38879,-10.32028,-9.73260,-1.63365,-10.14198,-9.68370,-1.79441,-10.14108,-9.69345,-1.86311,-10.15261,-9.71226,-1.55235,-10.19724,-9.70841,-1.66961,0.00142,-1.79850,-10.22688,-9.65913,-0.51236,-10.11351,-9.71156,-1.47060,-10.10659,-9.69731,-9.64375,-9.63283,-9.71117,0.56407,3.98612,-3.96957
2022,05,09,20,28,07,715,19.5364,-155.57557,3397,tr,0.000,0.100000,0.003280,0.516438,-1.38834,-10.35425,-9.76950,-1.63329,-10.20238,-9.70964,-1.79520,-10.18770,-9.72812,-1.86300,-10.17909,-9.71140,-1.55256,-10.15970,-9.68698,-1.66965,0.00138,-1.79876,-10.19798,-9.63710,-0.51165,-10.08137,-9.68646,-1.47142,-10.07511,-9.69314,-9.65903,-9.65539,-9.73155,0.56414,3.98611,-3.96958
2022,05,09,20,28,07,965,19.5364,-155.57557,3397,tr,0.000,0.100000,0.004096,0.333670,-1.38826,-10.32240,-9.73623,-1.63361,-10.16839,-9.68808,-1.79395,-10.14169,-9.69860,-1.86308,-10.16202,-9.71669,-1.55197,-10.21322,-9.72333,-1.66963,0.00145,-1.79874,-10.23741,-9.68377,-0.51177,-10.11422,-9.72487,-1.47087,-10.10390,-9.70488,-9.63433,-9.63302,-9.71168,0.56410,3.98608,-3.96956
2022,05,09,20,28,08,214,19.5364,-155.57557,3397,tr,0.000,0.100000,0.002933,-0.206653,-1.38789,-10.32278,-9.76936,-1.63281,-10.21342,-9.73023,-1.79359,-10.17932,-9.72094,-1.86298,-10.19954,-9.70283,-1.55244,-10.15448,-9.69044,-1.66965,0.00141,-1.79905,-10.19041,-9.63180,-0.51262,-10.07640,-9.67811,-1.47136,-10.07470,-9.69637,-9.65482,-9.64616,-9.73192,0.56414,3.98613,-3.96959
2022,05,09,20,28,08,464,19.5364,-155.57557,3397,tr,0.000,0.100000,0.002684,0.589533,-1.38766,-10.31431,-9.72720,-1.63242,-10.16066,-9.69290,-1.79332,-10.12159,-9.69303,-1.86308,-10.16006,-9.70815,-1.55215,-10.20462,-9.71328,-1.66963,0.00139,-1.79949,-10.22731,-9.67617,-0.51193,-10.12498,-9.71177,-1.47104,-10.10116,-9.71645,-9.64712,-9.62173,-9.70450,0.56411,3.98610,-3.96962
2022,05,09,20,28,08,715,19.5364,-155.57557,3397,tr,0.000,0.100000,0.003969,0.038266,-1.38783,-10.35116,-9.74746,-1.63274,-10.20222,-9.72134,-1.79408,-10.17306,-9.73357,-1.86299,-10.19244,-9.72116,-1.55286,-10.16204,-9.69303,-1.66966,0.00142,-1.79868,-10.19191,-9.64213,-0.51204,-10.09093,-9.67957,-1.47091,-10.08053,-9.70398,-9.67059,-9.66171,-9.72249,0.56413,3.98614,-3.96963
2022,05,09,20,28,08,965,19.5364,-155.57557,3397,tr,0.000,0.100000,0.004270,-0.142013,-1.38820,-10.31577,-9.73503,-1.63349,-10.17055,-9.70033,-1.79480,-10.14565,-9.68974,-1.86302,-10.16310,-9.72241,-1.55297,-10.19265,-9.71860,-1.66960,0.00144,-1.79935,-10.22070,-9.67387,-0.51232,-10.12689,-9.72475,-1.47091,-10.10051,-9.71060,-9.65045,-9.64014,-9.71990,0.56412,3.98606,-3.96966
2022,05,09,20,28,09,215,19.5364,-155.57557,3397,tr,0.000,0.100000,0.003357,1.066989,-1.38839,-10.35258,-9.76263,-1.63326,-10.19182,-9.71798,-1.79523,-10.18753,-9.72492,-1.86298,-10.19185,-9.70987,-1.55325,-10.14674,-9.67971,-1.66968,0.00136,-1.79849,-10.20003,-9.63455,-0.51181,-10.09128,-9.68756,-1.47112,-10.07305,-9.70382,-9.66343,-9.66354,-9.74058,0.56412,3.98609,-3.96961
2022,05,09,20,28,09,465,19.5364,-155.57557,3397,tr,0.000,0.100000,0.003663,0.457556,-1.38788,-10.32088,-9.73666,-1.63314,-10.15652,-9.69698,-1.79346,-10.14252,-9.69122,-1.86306,-10.15969,-9.72040,-1.55303,-10.21953,-9.70881,-1.66969,0.00136,-1.79920,-10.23037,-9.65051,-0.51236,-10.12885,-9.72779,-1.47108,-10.08848,-9.69945,-9.64410,-9.63504,-9.71219,0.56407,3.98614,-3.96960
