YYYY,MM,DD,hh,mm,ss,msec,lat,lon,alt,state,elev_set,azi_set,elev_pid_out,azi_pid_out,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,12,15,13,48,357,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00392,-0.01725,-1.47479,-0.00382,-0.01928,-1.67984,-0.00377,-0.01236,-0.97897,-0.00376,-0.01870,-1.61511,-0.00378,-0.01667,-1.41467,-1.67021,-0.00338,-0.00248,0.00019,0.09358,-0.00269,-0.00646,0.07959,-0.00278,-0.02144,0.07006,0.05815,6.06518,4.81493,0.60978,3.97796,-3.99405
2022,05,12,15,13,58,32,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00404,-0.01745,-1.47969,-0.00398,-0.01937,-1.67170,-0.00394,-0.01266,-1.00116,-0.00386,-0.01900,-1.64475,-0.00378,-0.01686,-1.42188,-1.67020,-0.00334,-0.00249,-0.00008,0.09411,-0.00252,-0.00662,0.07989,-0.00283,-0.02055,0.07009,0.05932,6.18816,4.93142,0.60966,3.97793,-3.99419
2022,05,12,15,13,58,282,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00391,-0.01722,-1.46520,-0.00395,-0.01925,-1.67077,-0.00382,-0.01254,-1.00498,-0.00397,-0.01917,-1.65105,-0.00391,-0.01691,-1.41971,-1.67026,-0.00344,-0.00259,-0.00101,0.09402,-0.00267,-0.00777,0.07975,-0.00273,-0.02121,0.07005,0.05914,6.16290,4.93325,0.60974,3.97793,-3.99414
2022,05,12,15,13,58,531,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00402,-0.01733,-1.46974,-0.00396,-0.01941,-1.67652,-0.00387,-0.01270,-1.00297,-0.00390,-0.01904,-1.64767,-0.00381,-0.01680,-1.42381,-1.67016,-0.00334,-0.00247,-0.00009,0.09396,-0.00252,-0.00657,0.07977,-0.00278,-0.02079,0.07014,0.05902,6.15993,4.94934,0.60963,3.97799,-3.99425
2022,05,12,15,13,58,781,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00391,-0.01713,-1.46227,-0.00383,-0.01933,-1.67647,-0.00378,-0.01254,-0.99526,-0.00392,-0.01912,-1.64596,-0.00393,-0.01683,-1.41979,-1.67031,-0.00341,-0.00255,-0.00109,0.09398,-0.00272,-0.00763,0.07957,-0.00265,-0.02100,0.07016,0.05915,6.16386,4.97247,0.60976,3.97801,-3.99408
2022,05,12,15,13,59,32,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00407,-0.01746,-1.47591,-0.00398,-0.01940,-1.67756,-0.00392,-0.01269,-1.00588,-0.00387,-0.01908,-1.64850,-0.00385,-0.01674,-1.42019,-1.67020,-0.00329,-0.00245,0.00004,0.09392,-0.00262,-0.00655,0.07984,-0.00275,-0.02052,0.07000,0.05898,6.15396,4.97760,0.60967,3.97796,-3.99418
2022,05,12,15,13,59,282,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00398,-0.01723,-1.46483,-0.00384,-0.01917,-1.66528,-0.00382,-0.01247,-0.99192,-0.00392,-0.01910,-1.64310,-0.00390,-0.01679,-1.41491,-1.67026,-0.00346,-0.00256,-0.00069,0.09404,-0.00258,-0.00743,0.07969,-0.00270,-0.02075,0.07015,0.05905,6.16030,5.00606,0.60974,3.97805,-3.99415
2022,05,12,15,13,59,532,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00402,-0.01748,-1.47881,-0.00393,-0.01928,-1.67126,-0.00395,-0.01262,-0.99686,-0.00383,-0.01899,-1.64534,-0.00378,-0.01675,-1.41687,-1.67012,-0.00334,-0.00244,0.00042,0.09419,-0.00254,-0.00623,0.07979,-0.00271,-0.02015,0.07010,0.05900,6.15692,5.01974,0.60974,3.97804,-3.99422
2022,05,12,15,13,59,782,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00384,-0.01744,-1.48813,-0.00386,-0.01925,-1.67509,-0.00382,-0.01246,-0.99012,-0.00390,-0.01917,-1.65571,-0.00393,-0.01687,-1.42307,-1.67022,-0.00343,-0.00254,-0.00077,0.09389,-0.00256,-0.00737,0.07946,-0.00266,-0.02073,0.07009,0.05911,6.15994,5.03769,0.60980,3.97798,-3.99418
2022,05,12,15,14,00,31,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00401,-0.01738,-1.47255,-0.00394,-0.01936,-1.67525,-0.00392,-0.01274,-1.00643,-0.00381,-0.01909,-1.65491,-0.00382,-0.01679,-1.42507,-1.67013,-0.00332,-0.00253,-0.00012,0.09383,-0.00251,-0.00647,0.07941,-0.00279,-0.02058,0.06999,0.05893,6.15041,5.03818,0.60969,3.97798,-3.99413
