%Mission: 
%Operator: 
%Time: 2022,05,07,18:37:05.787
%File: C:\Users\pop\Documents\5STARG_Data\5STARG_20220507_183705_RADIOMETERS.dat
%Notes: 
YYYY,MM,DD,hh:mm:ss,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,07,18:37:05.788,-0.00207,-0.16132,-10.34774,-0.00355,-0.29330,-10.31769,-0.00458,-0.39276,-10.32573,-0.00714,-0.65197,-10.30828,-0.00421,-0.35772,-10.31554,-1.66959,0.00003,-0.00038,0.03743,-0.29335,0.00266,0.34107,-0.04885,-0.00043,0.03675,0.25127,-0.05088,-5.00857,-5.69515,0.58538,3.98785,-3.98298
2022,05,07,18:37:06.038,-0.00200,-0.16132,-10.33063,-0.00361,-0.29300,-10.28655,-0.00456,-0.39230,-10.29281,-0.00718,-0.65163,-10.28865,-0.00423,-0.35755,-10.29229,-1.66960,0.00003,-0.00038,0.03776,-0.29314,0.00267,0.34165,-0.04858,-0.00040,0.03739,0.25144,-0.05075,-4.99590,-5.69134,0.58549,3.98789,-3.98294
2022,05,07,18:37:06.288,-0.00204,-0.16123,-10.30653,-0.00351,-0.29265,-10.31125,-0.00457,-0.39182,-10.32014,-0.00713,-0.65091,-10.31810,-0.00415,-0.35715,-10.31784,-1.66953,0.00007,-0.00035,0.03856,-0.29300,0.00266,0.34208,-0.04830,-0.00042,0.03751,0.25150,-0.05074,-4.98922,-5.66829,0.58544,3.98788,-3.98298
2022,05,07,18:37:06.538,-0.00204,-0.16100,-10.32876,-0.00356,-0.29230,-10.29486,-0.00457,-0.39126,-10.29392,-0.00715,-0.65039,-10.27907,-0.00419,-0.35687,-10.29263,-1.66956,0.00006,-0.00039,0.03833,-0.29292,0.00268,0.34200,-0.04809,-0.00033,0.03756,0.25167,-0.05060,-4.97609,-5.63519,0.58543,3.98784,-3.98293
2022,05,07,18:37:06.787,-0.00209,-0.16093,-10.30021,-0.00355,-0.29201,-10.31868,-0.00452,-0.39085,-10.31954,-0.00714,-0.64972,-10.31491,-0.00423,-0.35648,-10.31828,-1.66960,0.00002,-0.00033,0.03858,-0.29276,0.00268,0.34178,-0.04798,-0.00041,0.03747,0.25157,-0.05039,-4.95663,-5.59797,0.58539,3.98785,-3.98305
2022,05,07,18:37:07.038,-0.00204,-0.16060,-10.32202,-0.00359,-0.29172,-10.29865,-0.00456,-0.39045,-10.29437,-0.00716,-0.64912,-10.29358,-0.00421,-0.35616,-10.29224,-1.66962,0.00002,-0.00038,0.03859,-0.29250,0.00264,0.34187,-0.04760,-0.00039,0.03781,0.25182,-0.05028,-4.94818,-5.57162,0.58544,3.98789,-3.98297
2022,05,07,18:37:07.288,-0.00203,-0.16079,-10.29854,-0.00359,-0.29140,-10.31951,-0.00457,-0.38999,-10.31306,-0.00711,-0.64847,-10.32304,-0.00416,-0.35587,-10.32770,-1.66961,0.00003,-0.00035,0.03915,-0.29229,0.00262,0.34168,-0.04742,-0.00040,0.03755,0.25159,-0.05021,-4.94207,-5.55853,0.58533,3.98786,-3.98296
2022,05,07,18:37:07.538,-0.00208,-0.16063,-10.33152,-0.00356,-0.29095,-10.29880,-0.00461,-0.38938,-10.28317,-0.00714,-0.64792,-10.29484,-0.00422,-0.35567,-10.28829,-1.66960,0.00001,-0.00044,0.03905,-0.29230,0.00270,0.34182,-0.04712,-0.00037,0.03766,0.25180,-0.05031,-4.94764,-5.54148,0.58548,3.98792,-3.98297
2022,05,07,18:37:07.788,-0.00206,-0.16034,-10.30876,-0.00355,-0.29067,-10.31833,-0.00452,-0.38894,-10.31486,-0.00715,-0.64722,-10.31965,-0.00420,-0.35521,-10.30587,-1.66960,0.00002,-0.00039,0.03940,-0.29204,0.00259,0.34195,-0.04691,-0.00043,0.03760,0.25206,-0.04999,-4.92003,-5.49778,0.58539,3.98785,-3.98303
2022,05,07,18:37:08.037,-0.00201,-0.16031,-10.33087,-0.00354,-0.29031,-10.29204,-0.00451,-0.38841,-10.29558,-0.00720,-0.64664,-10.29398,-0.00420,-0.35486,-10.28654,-1.66958,0.00007,-0.00032,0.03978,-0.29190,0.00267,0.34224,-0.04668,-0.00037,0.03824,0.25197,-0.04986,-4.90635,-5.46705,0.58545,3.98791,-3.98292
2022,05,07,18:37:08.288,-0.00200,-0.15993,-10.30777,-0.00352,-0.28993,-10.31049,-0.00450,-0.38791,-10.32052,-0.00713,-0.64605,-10.31582,-0.00413,-0.35457,-10.31163,-1.66960,0.00010,-0.00028,0.04043,-0.29186,0.00265,0.34252,-0.04641,-0.00037,0.03854,0.25203,-0.04971,-4.89122,-5.44022,0.58545,3.98788,-3.98294
2022,05,07,18:37:08.539,-0.00199,-0.15995,-10.33340,-0.00350,-0.28958,-10.29068,-0.00451,-0.38743,-10.29644,-0.00709,-0.64543,-10.28468,-0.00413,-0.35418,-10.29400,-1.66956,0.00010,-0.00032,0.04067,-0.29155,0.00271,0.34301,-0.04607,-0.00032,0.03893,0.25239,-0.04955,-4.88209,-5.41536,0.58543,3.98790,-3.98290
2022,05,07,18:37:08.789,-0.00200,-0.15956,-10.30626,-0.00351,-0.28922,-10.31285,-0.00447,-0.38694,-10.32002,-0.00704,-0.64475,-10.30675,-0.00412,-0.35386,-10.31744,-1.66953,0.00013,-0.00030,0.04133,-0.29169,0.00270,0.34321,-0.04585,-0.00034,0.03901,0.25235,-0.04954,-4.87137,-5.39404,0.58542,3.98796,-3.98295
2022,05,07,18:37:09.039,-0.00192,-0.15940,-10.32828,-0.00350,-0.28890,-10.29790,-0.00444,-0.38650,-10.29502,-0.00707,-0.64408,-10.28352,-0.00412,-0.35356,-10.29259,-1.66949,0.00005,-0.00029,0.04146,-0.29121,0.00278,0.34343,-0.04565,-0.00030,0.03956,0.25248,-0.04925,-4.84818,-5.36086,0.58554,3.98796,-3.98289
2022,05,07,18:37:09.290,-0.00198,-0.15922,-10.30022,-0.00349,-0.28855,-10.31657,-0.00448,-0.38601,-10.31522,-0.00700,-0.64340,-10.30985,-0.00411,-0.35324,-10.31413,-1.66950,0.00008,-0.00028,0.04171,-0.29117,0.00272,0.34347,-0.04538,-0.00035,0.03910,0.25270,-0.04927,-4.85411,-5.35562,0.58546,3.98796,-3.98295
2022,05,07,18:37:09.540,-0.00195,-0.15919,-10.31833,-0.00351,-0.28830,-10.29770,-0.00440,-0.38561,-10.29165,-0.00703,-0.64294,-10.29222,-0.00412,-0.35292,-10.29126,-1.66952,0.00008,-0.00031,0.04168,-0.29085,0.00272,0.34322,-0.04513,-0.00031,0.03922,0.25270,-0.04930,-4.85903,-5.35196,0.58542,3.98799,-3.98298
2022,05,07,18:37:09.790,-0.00198,-0.15912,-10.29829,-0.00350,-0.28792,-10.32004,-0.00445,-0.38514,-10.31190,-0.00699,-0.64222,-10.31960,-0.00410,-0.35263,-10.31662,-1.66950,0.00010,-0.00032,0.04206,-0.29071,0.00270,0.34326,-0.04490,-0.00035,0.03920,0.25270,-0.04911,-4.83495,-5.32533,0.58543,3.98790,-3.98299
2022,05,07,18:37:10.039,-0.00200,-0.15882,-10.33093,-0.00353,-0.28770,-10.29744,-0.00445,-0.38470,-10.28555,-0.00702,-0.64166,-10.29422,-0.00409,-0.35244,-10.28673,-1.66956,0.00007,-0.00027,0.04214,-0.29059,0.00266,0.34343,-0.04449,-0.00034,0.03933,0.25272,-0.04907,-4.83321,-5.31556,0.58548,3.98797,-3.98297
2022,05,07,18:37:10.289,-0.00198,-0.15883,-10.30898,-0.00355,-0.28733,-10.31897,-0.00445,-0.38413,-10.31823,-0.00695,-0.64094,-10.31998,-0.00411,-0.35202,-10.30499,-1.66954,0.00014,-0.00035,0.04266,-0.29059,0.00271,0.34348,-0.04437,-0.00034,0.03936,0.25267,-0.04900,-4.82420,-5.29929,0.58540,3.98793,-3.98300
