%Mission: 
%Operator: 
%Time: 2022,05,07,17:38:50.859
%File: C:\Users\pop\Documents\5STARG_Data\5STARG_20220507_173850_RADIOMETERS.dat
%Notes: 
YYYY,MM,DD,hh:mm:ss,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,07,17:38:50.859,0.25044,-0.00267,-0.00209,0.24769,-0.00257,-0.00206,0.24898,-0.00256,-0.00209,0.25115,-0.00256,-0.00210,0.25501,-0.00260,-0.00209,-0.00189,-0.00232,0.29597,-0.00210,-0.00240,0.29938,-0.00201,-0.00245,0.30294,-0.00217,-0.00239,-0.00241,-0.00225,-0.95148,-0.00200,-0.00193,-0.00207
2022,05,07,17:38:51.108,0.25033,-0.00257,-0.00226,0.24751,-0.00267,-0.00215,0.24888,-0.00274,-0.00228,0.25093,-0.00274,-0.00227,0.25479,-0.00272,-0.00222,-0.00204,-0.00229,0.29595,-0.00205,-0.00236,0.29944,-0.00190,-0.00237,0.30292,-0.00218,-0.00239,-0.00241,-0.00222,-0.94470,-0.00196,-0.00201,-0.00220
2022,05,07,17:38:51.358,0.25019,-0.00266,-0.00217,0.24743,-0.00261,-0.00218,0.24884,-0.00266,-0.00237,0.25097,-0.00271,-0.00218,0.25486,-0.00266,-0.00221,-0.00199,-0.00236,0.29582,-0.00219,-0.00247,0.29923,-0.00206,-0.00250,0.30266,-0.00223,-0.00251,-0.00257,-0.00224,-0.92593,-0.00202,-0.00197,-0.00215
2022,05,07,17:38:51.608,0.25014,-0.00264,-0.00230,0.24730,-0.00270,-0.00228,0.24862,-0.00272,-0.00245,0.25078,-0.00277,-0.00234,0.25467,-0.00281,-0.00231,-0.00199,-0.00222,0.29580,-0.00216,-0.00242,0.29917,-0.00205,-0.00242,0.30264,-0.00224,-0.00238,-0.00248,-0.00222,-0.90738,-0.00194,-0.00202,-0.00217
2022,05,07,17:38:51.859,0.24993,-0.00269,-0.00220,0.24728,-0.00265,-0.00225,0.24861,-0.00267,-0.00237,0.25077,-0.00268,-0.00227,0.25460,-0.00266,-0.00229,-0.00198,-0.00237,0.29565,-0.00222,-0.00259,0.29894,-0.00211,-0.00252,0.30250,-0.00242,-0.00249,-0.00260,-0.00227,-0.89092,-0.00209,-0.00201,-0.00210
2022,05,07,17:38:52.108,0.24987,-0.00258,-0.00229,0.24718,-0.00280,-0.00230,0.24852,-0.00274,-0.00246,0.25064,-0.00282,-0.00236,0.25448,-0.00278,-0.00237,-0.00205,-0.00233,0.29565,-0.00205,-0.00248,0.29893,-0.00205,-0.00240,0.30243,-0.00228,-0.00248,-0.00244,-0.00229,-0.87516,-0.00191,-0.00213,-0.00219
2022,05,07,17:38:52.359,0.24970,-0.00269,-0.00228,0.24712,-0.00267,-0.00225,0.24847,-0.00268,-0.00244,0.25065,-0.00279,-0.00229,0.25446,-0.00270,-0.00229,-0.00203,-0.00233,0.29545,-0.00220,-0.00258,0.29867,-0.00211,-0.00253,0.30228,-0.00242,-0.00251,-0.00257,-0.00238,-0.86196,-0.00202,-0.00208,-0.00209
2022,05,07,17:38:52.609,0.24958,-0.00270,-0.00226,0.24703,-0.00266,-0.00227,0.24836,-0.00272,-0.00237,0.25064,-0.00279,-0.00236,0.25435,-0.00264,-0.00232,-0.00195,-0.00236,0.29533,-0.00219,-0.00256,0.29863,-0.00218,-0.00254,0.30214,-0.00241,-0.00255,-0.00261,-0.00238,-0.84114,-0.00200,-0.00193,-0.00213
2022,05,07,17:38:52.859,0.24960,-0.00265,-0.00235,0.24691,-0.00270,-0.00232,0.24815,-0.00272,-0.00250,0.25052,-0.00277,-0.00242,0.25418,-0.00277,-0.00240,-0.00205,-0.00232,0.29537,-0.00211,-0.00250,0.29862,-0.00210,-0.00244,0.30218,-0.00232,-0.00245,-0.00254,-0.00223,-0.83277,-0.00189,-0.00206,-0.00217
2022,05,07,17:38:53.110,0.24935,-0.00273,-0.00227,0.24689,-0.00266,-0.00225,0.24814,-0.00267,-0.00242,0.25049,-0.00273,-0.00230,0.25413,-0.00271,-0.00231,-0.00196,-0.00236,0.29511,-0.00219,-0.00256,0.29841,-0.00214,-0.00259,0.30198,-0.00240,-0.00249,-0.00261,-0.00242,-0.82082,-0.00201,-0.00196,-0.00207
